,Difference (|)
123,-245.2530858280441
124,-254.62597372921164
125,-246.32201370653075
126,-254.5396996316515
127,-253.72675566265423
128,-246.72062757812208
129,-253.06454588392887
130,-244.17271705989137
131,-247.31196521031532
132,-234.29525882153172
133,-247.24264468455928
134,-247.29198127576058
135,-250.8658641297719
136,-250.42294990227933
137,-243.5464706259206
138,-241.11671858326966
139,-234.07605496747962
140,-245.36624691995178
141,-250.6239395245145
142,-249.2792163356846
143,-244.26614151431323
144,-242.4859992621097
145,-243.33717652606836
146,-231.21692788867838
147,-241.45276002357164
148,-243.0707971480033
149,-239.9545991286078
150,-228.80666614514462
151,-229.29762138028923
152,-234.9921578971886
153,-241.75332932941706
154,-227.5683611500791
155,-221.9194192575558
156,-228.29902171487666
157,-226.59762856477423
158,-222.08429882847844
159,-228.94852736839928
160,-221.3277459199273
161,-226.66312500233522
162,-234.2271891853992
163,-224.83882557250075
164,-222.51094827879382
165,-220.36009248937725
166,-218.18551091325307
167,-224.11274304065378
168,-222.48119140331335
169,-218.96416622313293
170,-219.0469490606842
171,-217.91044455760058
172,-217.07092725865746
173,-213.1761038056059
174,-222.0850520054055
175,-215.61479669042092
176,-212.40722858847911
177,-212.09989742655944
178,-216.18357647723946
179,-205.7760989537845
180,-208.7799054943108
181,-198.64933120818924
182,-210.5818362616925
183,-209.11390950809812
184,-205.5615314134578
185,-210.66527529289348
186,-207.81684032899773
187,-197.6898883877309
188,-201.98809888764794
189,-204.01067888332128
190,-198.64915815580687
191,-200.21217973413417
192,-199.82164843791622
193,-192.370326992144
194,-189.0227346401081
195,-194.481812550481
196,-193.41733552623813
197,-201.146242642648
198,-197.99993757728566
199,-193.07962921152705
200,-187.45028021299063
201,-197.67602260062944
202,-197.00546771329175
203,-182.8740070659179
204,-192.33588399314112
205,-194.6342174962281
206,-185.09925299773425
207,-184.90233955603676
208,-178.02751435006672
209,-186.1138096665359
210,-186.05740868919133
211,-177.06844820714295
212,-183.44886141698652
