,Difference (|)
119,521852130.3816927
120,2504019986.402655
121,2538291821.927825
122,2172011734.3304834
123,598359944.4276946
124,844389623.8073153
125,619726989.0083114
126,1114861126.929784
127,935088468.1787287
128,636654520.071665
129,442806371.22520036
130,1252350486.1706212
131,601868478.5672019
132,204395972.04393578
133,547561649.354969
134,209561762.59176394
135,403286907.2686467
136,225192045.10233876
137,295110088.30446935
138,283473525.09011436
139,329350969.26409256
140,587022505.1288611
141,1513302581.3642347
142,633112095.6768898
143,661816051.1730256
144,1031698869.599894
145,444017977.7556012
146,280551953.31266046
147,272978092.82550144
148,283272799.7910508
149,296571421.2540892
150,336721315.4493064
151,356961551.8363806
152,604482175.1599373
153,244251481.62364584
154,37529891.57668909
155,198250182.75359106
156,167117340.8230512
157,110728004.1948414
158,35651542.382246524
159,146884369.74423912
160,95555186.45303354
161,360917645.67143756
162,91683298.29326847
163,338446701.435421
164,408001280.7812359
165,190449600.10408095
166,144611738.7788881
167,331458345.2414762
168,63934213.018820025
169,29857226.719065063
170,41201812.6149307
171,66918546.146954924
172,114525658.7363753
173,45197261.477820694
174,27745625.623818174
175,78286067.26560922
176,18550612.456663836
177,78873266.2243804
178,779365957.8305677
179,122285474.23643687
180,16882664.065079488
181,9569936.170879973
182,50698707.14419614
183,34300207.90245761
184,35459940.10025981
185,30210193.69772893
186,89885276.11932418
187,90227804.155088
188,24823499.089864053
189,75466396.00733703
190,16565929.593382731
191,35008059.03291402
192,124589764.55361113
193,18526999.05259682
194,30341380.3473619
195,16022240.284306478
196,2481396.253041375
197,53653735.66574465
198,23674597.268104117
199,57697042.0649865
200,19555211.589645915
201,143794370.40397763
202,34482457.77125606
203,3974845.9082426657
204,60165408.70087291
205,21570978.644072786
206,9779421.87870407
207,7078884.958520236
208,10054968.659717422
209,57298024.473439984
210,12923440.421747819
211,1721774.1438752692
212,4804724.662009318
213,8164114.713037184
214,10064891.111269072
215,7386291.963155966
216,3417149.206912669
217,7075438.3817505315
218,8505798.178954806
219,1952191.5471355922
220,6389859.658228994
221,6302742.300584607
222,13181766.610750746
223,64098196.09635825
224,4177567.345956393
225,2935747.4171240046
226,17160627.544588715
227,3790394.3935458623
228,5052535.508208138
229,5773079.142812471
230,7923636.850823367
231,692897.6940144118
232,1231864.352981777
233,5817105.053722167
234,1341383.2263653527
235,1045721.9322101375
236,1666015.216397682
237,572813.9592230545
238,26257274.753438197
239,1099302.0615674653
240,2264143.5750130443
241,22047724.225648336
242,9385585.056922685
243,277439.50656947715
244,2124120.237434097
245,824497.4188989301
246,2917122.0311895655
247,638095.9385738428
248,406958.6930886857
249,644257.7897374607
250,358602.7884473916
251,1466422.6985440769
252,2513085.2622126164
253,5249799.4683590485
254,7740707.596159858
255,5943974.825429199
256,615127.3019450376
257,417799.0242383111
258,521686.7684747184
259,432876.295408953
260,624847.6136132191
261,613635.4182288607
262,2771813.70308038
263,1109300.7230149924
264,870580.2581594018
265,563600.5545502718
266,820530.06686126
267,890726.7727037054
268,439249.4801916993
269,626880.0102736823
270,3606912.9385440773
271,150370.56779121712
272,371312.8100145409
273,421204.8098169921
274,1995867.4603787083
275,698521.022363605
276,317255.4428967311
277,361347.3975888886
278,532220.5959265878
279,388321.4612031659
280,218757.06587243194
281,191907.89986989496
282,533260.9560483979
283,351754.1159652191
284,139102.56251630912
285,128366.15996345914
286,329612.94218320167
287,75617.40895918223
288,413218.411254382
289,77299.13240126082
290,668542.6490209345
291,73739.04664572257
292,479732.38103023596
293,480799.1294603334
294,52604.261269668415
295,58717.80091445677
296,80576.7000512874
297,341947.5844685955
298,43193.75769537781
299,158130.22833057
300,46219.27163849401
301,1503322.2019807075
302,12640.218291855434
303,375011.8527001581
304,40524.84908671733
305,119704.8552965245
306,288879.8805694628
307,76098.1231949925
308,49923.33568851924
309,128399.37747982751
310,23126.23990118035
311,376984.86045448424
312,351001.88955420844
313,13336.479828628047
314,135413.77555782942
315,63309.95456212763
316,46307.493836041824
317,35529.81498859994
318,153174.14245671366
319,26173.298672742803
320,455660.3556482843
321,105629.3978261563
322,37914.772060560834
323,48217.66960354667
324,100523.41347967558
325,97317.41179724687
326,760248.6165189189
327,22579.15940674673
328,128757.12889420793
329,80042.67018937506
330,36134.16535895854
331,64418.94866023614
332,103067.79440249204
333,44217.936058160856
334,11111.681309090907
335,30585.72807134739
336,67213.95262372092
337,384820.8298728211
338,61454.25260146016
339,42088.7237965287
340,16158.14740019339
341,25830.875751626427
342,9966.954450232866
343,23499.683042766526
344,19593.410060375627
345,51399.60549079825
346,46353.28584589462
347,8070.435948581953
348,33846.1404268054
349,5403.7840504374235
350,12428.343399748564
351,18098.737768510036
352,58922.60628706035
353,187865.92162713493
354,400696.3437912887
355,72430.7967197623
356,114342.51628325357
357,16578.621508742595
358,3501.626121819766
359,4485.718214604695
360,16556.261813266938
361,4435.786187703999
362,98890.0602303851
363,61443.06926513168
364,22778.34279230427
365,84248.76405269791
366,131525.84881016382
367,6553.010774213112
368,12240.80499972185
369,4960.950478193716
370,395882.24961107393
371,5061.867365043862
372,13652.612266370003
373,2965.2497341807407
374,16567.121550600015
375,4739.38112751744
376,1358004.8485115275
377,10149.067361842228
378,6297.660849889551
379,15975.876739219837
380,10644.473720774075
381,8045.01484015007
382,8438.962316163015
383,8106.661404995554
384,29862.664283554954
385,4312.896735913071
386,9650.245529532558
387,6364.737642165563
388,12472.198599083888
389,489535.6697034676
390,34671.3637561242
391,12767326.963961441
392,20678.561845163742
393,16781.84164475944
394,89426.84796156433
395,19461.38767889874
396,2066368.399824016
397,30853.808904490637
398,10521.763111740795
399,51968.66937124569
400,26886.146894048525
401,7957.150778624617
402,16981.415260988604
403,6539.428895495419
404,8977.11455005051
405,35993.013420237054
406,14617.39573886495
407,4231.456124493045
408,11908.168808543254
409,5593.170722479246
410,7680.362346748116
411,54603.85367547874
412,4526.023133457867
413,973.7140574129404
414,146185.68749072505
415,17909.023913379377
416,4976.2249264626535
417,2494.3429761959314
418,39903.07803452405
419,93418.11006270889
420,9367.935063154811
421,18355.21077060666
422,8868.684319059976
423,52302.761520326276
424,56251.532410149535
425,6464.793751471205
426,1601.5682518343353
427,9132.477050178515
428,3651.1222996795327
429,33349.997161937186
430,18312.147036497205
431,15435.246752366242
432,42250.88977223018
433,5527.804260822213
434,1337736.8528060003
435,6559.595332887761
436,249162.54941335425
437,10782.391449469817
438,4595.184137434697
439,39361.898921476684
440,2525.0405634854055
441,187714.50122097443
