,Global (|)
0,14134263293.774422
1,1557660.8121583136
2,1595.4423406051612
3,160.6301279921005
4,225.46483403035074
5,355.2668305083329
6,221.6027517764543
7,209.96691995735367
8,799.9070172133636
9,354.26202169153913
10,110.12744978677947
11,326.0379790109751
12,114.89008171641075
13,90.91538634477324
14,137.79895632968686
15,209.1736662104218
16,162.82170500894202
17,166.04790764374832
18,83.41177739899817
19,602.8185571785357
20,213.59960505918417
21,239.2484052752327
22,91.2503794256576
23,399.3818899558853
24,144.55947706615893
25,181.79749381726427
26,115.10335880462166
27,76.81534300490753
28,118.18910354973168
29,127.46826439142971
30,180.8335101560643
31,144.42285837643914
32,101.74427417321849
33,86.25384058567234
34,259.62098293068317
35,1506.3997204369523
36,61.46640087471609
37,157.40108007223634
38,120.20445843076385
39,94.27159564313179
40,237.02816939509913
41,78.92414225660119
42,161.14773719844084
43,208.1258637702754
44,194.4475866307768
45,188.97243750193996
46,129.6362931357895
47,152.66138341640095
48,139.26755749591197
49,265.08367540725817
50,239.97671413045057
51,206.57497155195168
52,115.38621759020853
53,82.21211330103498
54,106.0819167229286
55,108.15907309531396
56,229.60324414638006
57,140.14765298815522
58,141.4781571707452
59,349.0556532265275
60,373.8380148291152
61,402.4920757859001
62,284.7457898534608
63,125.2016556316215
64,116.64225271260308
65,98.73236232915171
66,89.87410986777137
67,110.82305712382157
68,186.36857876904654
69,259.6735709260862
70,164.6996162180038
71,97.90804680443088
72,117.96466765141173
73,225.12720136711232
74,133.06707592151994
75,139.27657041166182
76,288.8617304824335
77,111.6688714755398
78,63.382455422130235
79,85.76480084968101
80,182.38984981353693
81,168.44033778191948
82,99.17634649517211
83,103.01801263644899
84,95.98347942434233
85,103.24127568500339
86,247.3526346949207
87,82.88874354794255
88,194.64207321691592
89,107.97349120925011
90,176.77540217973308
91,88.34864636521912
92,308.7257115206374
93,89.77831403916284
94,188.7543051905997
95,123.51636200280596
96,82.50211868984012
97,110.51391635865826
98,113.3898082301548
99,151.87962117054812
