,Global (|)
486,154.86305082868617
487,92.27264269817805
488,100.934927791549
489,145.79376571512958
490,68.4493966889621
491,2332.451038539586
492,254.48282369079027
493,208.35377902302866
494,1047.1401794571823
495,1075.6957305858673
496,239.62248702420467
497,192.55685811505097
498,115.11218262827985
499,51.36072238045094
500,182.98276760933408
501,158.1599348807684
502,107.66745577709182
503,200.88379961970884
504,150.99579082720265
505,39.05839095791678
506,80.92903998063572
507,667.1593041334069
508,408.2698273378225
509,234.28424479041425
510,73.69913048065779
511,245.52808808381366
512,152.09971298900678
513,63.740350832009746
514,148.2627082854365
515,189.72352610886233
516,944.9801602942047
517,18.39633214356499
518,152.02328692767793
519,48.0041101706538
520,350.4894392329758
521,39.74185086652769
522,238.05073981111616
523,281.53084512093847
524,233.10118667085172
525,113.90541607759955
526,45.97971409184831
527,53.66646510238727
528,30.8315410410017
529,793.467655785527
530,128.4186369649618
531,59.88583095387617
532,1355.4439449973024
533,143.9399541877083
534,244.79831439077373
535,51.34512834852372
536,104.06919813455102
537,66.93104478764195
538,516.2948943974692
539,51.92301077793091
540,3890.1483439288863
541,132.70613549596408
542,595.5900076213846
543,30.253633535070914
544,19.866973203179118
545,109.10584091410796
546,16.52358064135575
547,128.29545544624824
548,512.7026607714213
549,13.553029522049814
550,45.18598988042109
551,761.0056689059448
552,136.7648568698319
553,164.23735471271732
554,508.864452425989
555,518.7166630286949
556,11.502408993252724
557,27.759371642423115
558,593.4873794404712
559,178.1123701136441
560,1070.125271384474
561,63.24183332908906
562,18.110151311650725
563,27.31172944972846
564,145.99193487153488
565,27.096670417749614
566,40.89033586473598
567,92.18165764009434
568,4043.7676541069286
569,27.232069079661496
570,823.8681433285773
571,91.43717713243367
572,140.28910329453547
573,151.43237944607264
574,196.96542453725726
575,61.184443980157575
576,96.8518892679474
577,30.691029029172192
578,261.1321114244899
579,186.6296537617237
580,1377.2493547806878
581,24.08888442763914
582,28.016591133631966
583,13.376495220909817
584,18.82447906956385
585,799.9602210922657
586,61.77452460729041
587,11.292519297859029
588,41.792548766936044
589,33.151122786451914
590,405.10044810620275
591,59.298537886818
592,50.6894919514889
593,12.688527810912463
594,161.52235121245468
595,156.11432024961908
596,34.72071532596961
597,71.61905220418282
598,65.06569537041362
599,23.36195583300371
600,47.96448563879642
601,19.431145855822606
602,197.79982955371779
603,52.20758955987076
604,66.1175326005975
605,142.20757798932271
606,131.10992429927109
607,18.77088540792586
608,100.4738179304686
609,30.83897272039958
610,79.12078648658249
611,361.7365805752748
612,129.04115117879442
613,221.7907210581253
614,248.22325204924053
615,62.17114467103837
616,185.84672369241468
617,24.10405109331916
618,69.05253404865073
619,402.1875980786974
620,70.51539040343276
621,27.82642178374338
622,59.87541665293397
623,84.70839138137679
624,100.26691396710267
625,524.3241512755361
626,34.07963819675176
627,103.86238055007897
628,53.67665876872951
629,482.2558969333108
630,18.83469666365095
631,211.3273145761537
632,297.2148995453
633,38.75569949942942
634,156.43908412671678
635,34.97667616447266
636,245.31876599208536
637,717.1487257086347
638,73.28331716311195
639,76.23991539977035
640,144.1691107357467
641,57.40244549984723
642,29.375804938729903
643,47.36008284903963
644,189.50067619524154
645,74.78001377324625
646,115.25054413242225
647,55.61735174655463
648,29.29911532616833
649,110.56042597079716
650,226.21861972965903
651,47.10468378668981
652,35.88362785862252
653,40.90895310502453
654,23.65700368543894
655,20.637725704748892
656,60.1622626192405
657,64.17395471193292
658,138.16415771473314
659,141.3133645533442
660,268.0521581202065
661,44.96944263123111
662,1753.952578696442
663,77.96386242744138
664,220.4126644116684
665,33.54091725081905
666,199.90906033226568
667,24.985145219030052
668,57.26616748613153
669,64.98908265845984
670,155.13087074783786
671,233.10890604770907
672,12.729366142300494
673,476.16443137903417
674,13.24790087070458
675,20.26947295164594
676,10.296504830339176
677,165.7899567565762
678,59.41169994422487
679,66.53157830804953
680,45.48418897681379
681,16.829952718422625
682,25.506662922397155
683,61.95908138446076
684,26.26024415768566
685,62.691475307170535
686,30.622001203708805
687,55.69688450771393
688,20.887343889573568
689,41.06732824074523
690,1767.8110762130123
691,299.3771890240951
692,153.43559491993858
693,57.5992876855548
694,40.336539179022864
695,49.81143244333548
696,45.29371145507113
697,284.6381019823592
698,11.362302709170578
699,80.02770578303166
700,97.83803838475103
701,11.762628710683611
702,103.32650748014419
703,616.168065739076
704,41.710241562939665
705,42.079813658676265
706,928.2909610322727
707,48.44696312860034
708,165.5602112754811
709,471.2646409145751
710,57.75581633863014
711,40.01692131191962
712,187.7426347738618
713,390.09369161107827
714,2752.3955696525554
715,1063.9152928027834
716,32.21748795550244
717,58.752337592155385
718,104.00722135433074
719,96.70451017480434
720,13.394299825530737
721,96.45758849336798
722,69.09420102628852
723,9.889477062544874
724,55.61539490290463
725,34.64766123111574
726,47.454171161164446
727,60.452282811079
728,37.083435247497405
729,154.68983429307465
730,72.97572632685626
731,13.154924071987999
732,77.3853893427972
733,166.5410779080329
734,92.36914310131672
735,29.175759658996522
736,50.32365121995445
737,20.80123514476855
738,61.35016296712764
739,20.252346225953552
740,21.038083217705825
741,67.72703705539331
742,803.5177902352445
743,45.73398643505085
744,69.5743502662931
745,14.408725105320865
746,173.53930774068195
747,17.917746349271447
748,147.01757984502746
749,90.06995636753784
750,109.60089670309003
751,87.44308327476612
752,21.862604472787503
753,141.23554875918165
754,12.726558457272096
755,1829.719942583353
756,249.4739406966527
757,44.23124241784138
758,63.731800330542505
759,86.7389044670426
760,41.353413854986265
761,133.20285832705315
762,21.314066560984337
763,128.78957761848164
764,25.086770698369392
765,75.85611345045447
766,1039.7928361026284
767,28.907613504582336
768,135.27274445884592
769,256.41670490774015
770,13.78381680951484
771,125.05533161579613
772,15.060399368705824
773,42.8547793209763
774,53.181751291393766
775,10.869195783435483
776,18.410334611832837
777,41.44790763302042
778,30.613752075919876
779,19.81257145950645
780,36.66581015949711
781,187.36637937917482
782,62.05127861081187
783,13.4879008747115
784,107.70270568389245
785,51.59609334562888
786,69.27849629944328
787,7.945918221027518
788,17.11010344221581
789,23.53044344923958
790,29.974105903814653
791,931.2830107986929
792,66.7287350971709
793,33.86086575560829
794,16.615618706677736
795,46.96943470762392
796,26.28014211131236
797,120.93144417343025
798,603.6420670636124
799,37.369647131778656
800,792.1207402346232
801,79.94580221562875
802,486.37065659150113
803,37.14015148129524
804,9.820496056714227
805,14.686701360847
806,149.26484124959094
807,170.5446984847263
808,18.511857284450628
809,684.3463873486071
810,42.120901726072645
811,125.01371077216189
812,26.545646133430594
813,29.425440867157846
814,455.79466383728027
815,18.546808681887843
816,247.35287350003452
817,31.920112286769537
818,290.5166010156919
819,23.99912533870261
820,366.22318075903456
821,15.511859416398908
822,75.39338684276004
823,53.091600696089465
824,51.534296367459994
825,52.42283508875529
826,115.39713141897168
827,22.676592995413554
828,10.090714828178498
829,162.71943496706717
830,680.5854551142658
831,52.81897357468512
832,112.56593790853604
833,84.50310988296891
834,267.8991352488366
835,78.27736292579506
836,501.9395859629283
837,13.915581224941585
838,36.26314002273779
839,40.12364649693187
840,19.62509175224952
841,52.77740290031935
842,21.3878601804993
843,51.91931623084936
844,129.11232440430956
845,97.97321036536384
846,22.78871470465381
847,533.5974457496505
848,32.89220370045335
849,169.6463252917179
850,157.7485319034321
851,28.807246508378107
852,175.29457399322433
853,27.094860324415514
854,29.900053981805755
855,48.45931714755703
856,30.750629077545963
857,1574.3182726174946
858,14.23288625243727
859,1554.2225598160753
860,31.725021644145382
861,64.59525304247047
862,43.791955150169564
863,1201.0291051407232
864,8.669249952669796
865,102.50830772972665
866,18.94637347829929
867,187.55363280525526
868,23.23037104426856
869,25.655277463088847
870,24.79807016126391
871,95.7702581372433
872,11.64302587691051
873,196.5571767144994
874,144.12189684496704
875,24.97396401775587
876,266.8556553699069
877,20.449889593566663
878,60.71113918915987
879,59.59968826226926
880,635.465345283647
881,14.258378593947663
882,192.69059323994404
883,47.796346738561965
884,16.973653277385736
885,429.5775302203004
886,366.021763982705
887,37.98451178636777
888,15.232435582551624
889,189.93707377262967
890,20.929238327879258
891,672.8252791724974
892,91.56007365507224
893,42.11982950644082
894,24.84594889936785
895,31.729725741814185
896,398.69574516721843
897,65.09813619489547
898,514.6524808646791
899,55.639253289078056
900,666.9182007039251
901,36.99716593080982
902,18.00276099814276
903,75.82340931641396
904,11.734143352977107
905,23.773215022670584
906,27.305861187669418
907,1884.4292960720163
908,43.11791486073174
909,355.8580557494048
910,191.15383952933948
911,53.654817791732356
912,27.97257925449437
913,40.35690087117447
914,37.96859886268826
915,43.598160710980956
916,25.6043263872812
917,44.85316224535372
918,39.06614163703358
919,40.47637204482047
920,32.49670271025451
921,55.73654078630759
922,18.39974136237602
923,303.25516870937145
924,187.419458557396
925,79.61236472661862
926,50.664842690617654
927,11.052856606778814
928,33.02156588270272
929,19.224841876278553
930,32.53689402674242
931,27.09312331655208
932,39.07197061201137
933,61.43489863463052
934,81.66471686243251
935,11.396759541555594
936,60.49276090284227
937,76.26516986661186
938,22.56970251070756
939,139.7801598500899
940,39.756787157806755
941,13.483947978783934
942,145.9181890761904
943,44.11508124412867
944,134.88785948261466
945,14.259105219392538
946,15.390259362862666
947,23.473658429374822
948,87.33637642693063
949,14448.419157046661
950,23.977772530834528
951,1064.3773363865853
952,70.32955069592371
953,22.359590068329616
954,106.80222495866683
955,17.199827610229722
956,84.58802969292944
957,17.950609897646785
958,75.62941233971642
959,16.069006908374416
960,114.22604089243265
961,36.402006825264564
962,323.3804545413598
963,55.10796157377885
964,23.024509881259842
965,22.178920662317655
966,66.64720834240617
967,179.09667082893455
968,40.25505973887074
969,26.779628146277457
970,78.3899631753362
971,352.8795117322202
972,744.7075339104678
973,37.436191106930664
974,91.87780624919998
975,44.89861355990915
976,170.128246530087
977,18.092660355591487
978,67.4740355851405
979,20.29752837416055
980,127.02895435345896
981,24.280744406031104
982,28.52972581296321
983,62.02313289140447
984,46.62062035899986
985,28.88137168197931
986,78.64057053498843
987,88.81138917408855
988,36.7685893647282
989,16.98618498244412
990,138.3487298669852
991,56.09843389080415
992,79.1589725245745
993,54.67871386971454
994,85.10551020311603
995,11.776639435589518
996,743.1427904324065
997,154.11332544305387
998,34.962801504002776
999,1407.8414482226362
1000,169.6221830207107
1001,84.35019863330156
1002,28.221943677312314
1003,32.85102422248472
1004,11.26860382247652
1005,80.01507032579732
1006,54.702327091774706
1007,177.57145217634405
1008,136.8350747159374
1009,110.28172947924206
1010,20.405682464343965
1011,46.986526196649635
1012,29.45159709052196
1013,96.63821593923487
1014,47.622838535053205
1015,29.04931204247854
1016,33.98155329895186
1017,26.7711855407469
1018,28.73828412907552
1019,34.595806641083755
1020,18.655591917236052
1021,42.43215748901059
1022,213.23494034389725
1023,764.2921997244132
1024,85.07502380624635
1025,38.00818025860337
1026,132.42398291237132
1027,34.59694200380944
1028,17.15255948034103
1029,10.92492533034027
1030,42.05480642918748
1031,16.991289201802303
1032,94.34626438290647
1033,37.31403578972791
1034,63.76288620652393
1035,56.223616869803486
1036,23.426423280436143
1037,1473.651655749468
1038,16.58627952241513
1039,77.46775086583855
1040,14.583710818471664
1041,200.24303499507008
1042,17.031590747564962
1043,24.691698612889713
1044,18.05091865558212
1045,35.71076662510426
1046,87.26618962027466
1047,13.002685555953763
1048,20.42470069396067
1049,250.65904167900538
1050,88.64200699457251
1051,12.526023235933325
1052,209.196031192125
1053,75.04752461161921
1054,67.02974001236677
1055,162.657325139662
1056,65.1906166532744
1057,26.215827810732677
1058,471.7156380259374
1059,23.751667901048986
1060,87.84102554493734
1061,36.98531401946533
1062,13.267925340239852
1063,54.09720462311498
1064,52.96039971975777
1065,115.23690680541345
1066,754.7955630907833
1067,43001.19682220129
1068,36.89191734895606
1069,13.668484518883432
1070,22.904463080993175
1071,36.892447899270934
1072,697.4475368681572
1073,40.77311583731686
1074,57.52107643722273
1075,72.41290062989833
1076,32.576153846660084
1077,2518.7727919351246
1078,27.93932141456006
1079,170.64215641136997
1080,9.561452376022988
1081,42.407793703442344
1082,16.291367606689374
1083,21.681036918177323
1084,37.133423146335936
1085,19.993357129544645
1086,24.39592441188492
1087,105.01461228722805
1088,522.5301848959518
1089,53.39918378025496
1090,22.8378834392161
1091,11.371483316724701
1092,135.4593786780984
1093,19.87226853795052
1094,9.94186609415535
1095,76.42039276356994
1096,20.800745241747986
1097,34.76968644851483
1098,101.21649911940041
1099,129.76207038023742
1100,34.60063787376519
1101,28.042277938728244
1102,131.63318768340153
1103,24.33584850442564
1104,56.357158146345796
1105,29.878333153928956
1106,692.4405089932031
1107,31.001844563630026
1108,29.804042709844463
1109,111.07324496998015
1110,280.11646915184764
1111,37.72819457185652
1112,21.299833705975256
1113,189.14072849090437
1114,14.00614761050282
1115,32.2962219201665
1116,301.22551206227314
1117,29.624518587914395
1118,41.55144154744797
1119,24.158807859482252
1120,46.152897931374476
1121,212.7100266559637
1122,2841.010357880595
1123,28.894448879223596
1124,1266.2028768927416
1125,18.2211223635391
1126,27.475086352327473
1127,32.264250787796286
1128,20.858984247037583
1129,114.58437904469494
1130,15.682177125919699
1131,90.55669100040112
1132,26.37707121358385
1133,68.08523552895387
1134,59.12955596142634
1135,23.111271140268872
1136,32.35660646928596
1137,57.803862313548144
1138,16.71211124384461
1139,19.3394184769663
1140,70.68380058342454
1141,76.99588503535763
1142,60.565000324787306
