,Local (|)
280,108664729.49544755
281,22708906.185906213
282,26352122.23360086
283,13895519.275259465
284,15662747.563507281
285,15390858.93706925
286,24266963.748211056
287,21427266.620325908
288,16452161.866271662
289,5378611.288481049
290,9848814.87367371
291,49573339.71357055
292,17388812.39490968
293,164593367.15735734
294,70050153.51278767
295,131253463.72594929
296,7879165.56495267
297,35764306.08896553
298,10185974.480632406
299,28103677.88843974
300,24103286.31436794
301,28014641.362653192
302,26933813.170572214
303,15176200.73699584
304,12202748.30929263
305,14493294.783747667
306,40144553.62223617
307,18532577.715456244
308,11997118.297678893
309,10873154.50556745
310,19589523.58191338
311,36438630.44349728
312,10189464.68803467
313,6025028.841199758
314,196809583.49030364
315,12530189.69045755
316,11189666.666718943
317,53088435.746269666
318,22320989.45938887
319,18323389.005302303
320,89443742.09403078
321,9155925.831134293
322,23502920.85671279
323,17571003.997503355
324,49463197.714362964
325,93406057.03150171
326,9434891.280164702
327,12106136.041940277
328,6336712.081756559
329,8713032.57239495
330,32324559.07242154
331,82214537.35739438
332,31912727.996556915
333,33246416.65072754
334,13847270.203827202
335,5127652.845172392
336,7005834.443174196
337,6007220.963063857
338,11362736.916441223
339,17982587.268056273
340,24202462.197751228
341,92997399.09704183
342,7362198.126648104
343,17008510.141628303
344,4728629.46746774
345,11835893.80265496
346,25435342.352317132
347,10043802.697081862
348,96151938.9975626
349,26402047.0214425
350,13871381.490100272
351,9964722.677361332
352,20493204.514667694
353,94490265.39510961
354,3458431.1890898664
355,30426761.73030451
356,36309203.66925219
357,3231481.1769374344
358,25236295.983436476
359,5739114.900288023
360,13084185.582980845
361,27653352.959958117
362,24816339.686677966
363,9348554.563456362
364,10990482.63297073
365,79128625.6067404
366,16025760.312200194
367,33821293.81023186
368,323481448.56153005
369,3237759.1841803417
370,4996656.137457958
371,19975232.820750915
372,15637010.139586443
373,76451816.233913
374,44026580.65218783
375,18595485.085918717
376,9970971.541778238
377,142566861.7416775
378,271851446.7108573
379,7490770.706406823
380,20956293.491196893
381,72628092.16125047
382,21636601.58640257
383,5334105.196236096
384,28229287.962152638
385,14630510.585714927
386,4119100.3532339246
387,12468930.326741705
388,28962492.608520076
389,25090998.776442245
390,17947325.85425499
391,87547037.70495978
392,11046728.525133051
393,201913227.56071967
394,151586036.97094762
395,232566201.95094165
396,71140013.13407853
397,15133130.534121135
398,16022685.629600506
399,3805236.4992080624
400,4244648.594773538
401,11170351.327247221
402,141660546.88608202
403,8055550.385488472
404,15331387.270396871
405,8432256.28592945
406,17657605.018361297
407,1846820.2283448316
408,8250034.878748553
409,4818003.578743464
410,12089996.490106914
411,16866034.72194756
412,25327970.29273796
413,32565069.74529643
414,21196729.115157995
415,17156937.33594191
416,1770145.8402279282
417,86015099.25817242
418,10559587.856378311
419,20442623.20438565
420,70037313.35631725
421,47836476.510267735
422,18051072.640820302
423,23665249.830160618
424,4220334.690498949
425,32610196.876003772
426,69566755.25847049
427,16311137.86555747
428,2354053.718917669
429,83193983.12579988
430,14941743.09717186
431,54564800.39927005
432,56100253.54642136
433,67090626.137098335
434,97844161.5342745
435,112117868.9109
436,52559537.0851333
437,30197615.239971176
438,53811287.02468193
439,10210541.224151004
440,4829653.580828438
441,11047969.833276672
442,6624529.170433853
443,20065687.986746177
444,16461550.305604331
445,41966845.91013159
446,6731853.882789035
447,14108492.803550532
448,4416747.098595137
449,25835669.013429362
450,13030288.761388913
451,6889736.863126771
452,4860149.598298196
453,1658011.346638359
454,378824743.09502816
455,14189243.648248078
456,4535335.71863049
457,33971095.56245385
458,19341678.953043357
459,4577393.147281023
460,41209777.96370108
461,81184645.69717982
462,37143936.52075421
463,4167288.9252365977
464,105968940.2688338
465,93146409.26958008
466,15286910.001262577
467,3589928.6478993096
468,10933141.061633052
469,24626528.965761498
470,16232125.249452103
471,33447202.78564337
472,13434819.795970358
473,3007940.987066796
474,28003218.08172893
475,75654978.5999504
476,28955897.264362644
477,16122738.708539922
478,26053747.171538103
479,25338715.54096679
480,44857178.671064205
481,2910532.6128498516
482,17142025.730789308
483,5914584.36813294
484,137327456.54129568
485,52892767.13229642
486,35538991.02647186
487,70350812.25964543
488,8842525.564033968
489,11003256.944520231
490,165112756.92224407
491,9640177.990627863
492,170201906.50584972
493,108230042.96572262
494,8436865.990834013
495,9529395.292091804
496,1860968.1056902406
497,37999742.58012578
498,20028263.65528343
499,106182482.96786228
500,20648852.310757946
501,175003153.45334357
502,14695266.616497282
503,47513674.108278684
504,6126060.948253274
505,62543054.33041999
506,5176478.526549533
507,15717021.396210082
508,34024837.5929128
509,16100819.981587041
510,9535503.674902167
511,45923765.1658715
512,133384836.12303679
513,455219260.0977235
514,89867534.03285216
515,38399847.175595485
516,9240758.2185972
517,67893940.33730881
518,36557907.617603466
519,3152929.4974434697
520,37283627.91390763
521,19495788.192890078
522,12523960.873887489
523,4222456.315874366
524,28821761.2834148
525,647838521.7642099
526,16035250.569563676
527,14585886.332918635
528,36085983.58819089
529,82478767.08268243
530,20043435.74859711
531,13863064.644275403
532,1464663.0505611964
533,50351093.00349788
534,31978918.831686772
535,14654038.662023688
536,13302103.32531207
537,6865225.285757512
538,5372636.474564741
539,114917595.17392284
540,9350666.689808374
541,13095866.740103928
542,82826840.63229233
543,67734619.9284254
544,50287339.17172741
545,128888215.92407955
546,2497353.4025236913
547,2830013.4930341784
548,2442771.1958264015
549,20955488.15019508
550,268101652.0836602
551,48374329.455044605
552,38983506.53861131
553,17258034.391338006
554,6066766.8766499795
555,3786768.0655072955
556,3414353.921208298
557,3970646.888201839
558,13229806.957592342
559,99770285.82095753
560,101539903.70479253
