run0,mean
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.4,0.4
0.4,0.4
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.5,0.5
0.5,0.5
0.8,0.8
0.8,0.8
0.8,0.8
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.4,0.4
0.4,0.4
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.4,0.4
0.4,0.4
0.4,0.4
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.4,0.4
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.5,0.5
0.0,0.0
0.5,0.5
0.5,0.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.4,0.4
0.4,0.4
0.5,0.5
0.0,0.0
0.0,0.0
0.0,0.0
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.3333333333333333,0.3333333333333333
0.3333333333333333,0.3333333333333333
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.4,0.4
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
