,Global (+)
395,52.005176966671996
396,55.237821378931
397,48.89542326530265
398,50.123327263410765
399,47.77846403807804
400,49.44843420503952
401,53.14934031901588
402,54.52446132385836
403,53.087463233515635
404,53.790455900337534
405,57.34943972000273
406,47.81570158192418
407,56.123364679422934
408,52.97635079302296
409,52.08425370487242
410,53.10786809721464
411,53.38700425916769
412,55.649855035694124
413,50.50080882565178
414,47.54551339893396
415,53.96679936698179
416,46.72335393053461
417,50.79098158700633
418,50.34413819311913
419,54.30166968880304
420,50.404062514997506
421,53.798444803021596
422,43.72158009883885
423,51.309287921461824
424,55.359627287935396
425,55.57449689254148
426,46.56300526907204
427,51.88425663829417
428,54.28254279797085
429,53.00146047655244
430,47.3865646500055
431,51.059186963854906
432,52.400687819978714
433,46.825448259992704
434,50.48600037978239
435,49.41903380605496
436,44.01474367159561
437,49.988842405098495
438,48.221315653189755
439,48.96791420772377
440,47.845898420335764
441,46.71284022118736
442,48.16468157589033
443,44.65240892882201
444,48.074118287500255
445,49.22441577418459
446,48.96652728008629
447,45.384812777515705
448,50.26470877674283
449,43.848820447485174
450,46.572441594159436
451,47.718689173579705
452,39.074397783875135
453,52.10109639929104
454,42.426487301461535
455,48.636835502434565
456,47.33115951523554
457,44.53260043040316
458,43.82956890474119
459,47.28447841561832
460,44.556108878319314
461,46.65053371987452
462,44.35593723220662
463,49.88104342068102
464,48.29470995111607
465,43.54398953375958
466,46.663077805525
467,43.966198934497314
468,47.56388262706756
469,46.87474065153633
470,43.11517188198621
471,45.35400022200946
472,45.45516957922326
473,38.59813582664991
474,43.809924970673016
475,46.72443130824561
476,46.0867904696943
477,46.48560547093987
478,41.75718806487425
479,42.772374250416576
480,41.34544453266475
481,45.23574925151806
482,44.55056463894588
483,42.6575437561451
484,44.24059301640518
485,43.310528035730435
486,45.637512841285826
487,43.76997590374309
488,42.83582263598882
489,42.825618886334745
490,45.181738179918135
491,40.513455700383204
492,41.83085242467342
493,43.1536537478024
494,41.58563660281701
495,45.627315485904354
496,47.20464305513381
497,47.62049244923006
498,43.813050417988435
499,46.99278818478011
