,Local (+)
321,229.16355544929164
322,218.63180404455767
323,214.5442678309925
324,226.37785553104686
325,235.1431744335658
326,223.03094726596387
327,232.3820509561696
328,207.5884185032862
329,220.31507562624193
330,213.01241249254937
331,220.51563004899913
332,223.9008881886611
333,220.1464091027402
334,229.6502183080365
335,216.612206647359
336,218.03350051392246
337,221.06642893252206
338,216.2795316691903
339,208.15922113485325
340,226.64944349961792
341,219.08718016395812
342,216.3405961901905
343,219.8343017936871
344,220.4146710737985
345,213.84839438472443
346,228.6570613178982
347,213.25511540174145
348,214.6327663451486
349,219.74734506582146
350,219.0227725622971
351,214.73027254036975
352,227.2578286025532
353,213.95936774280923
354,230.78318513970098
355,217.38390996896416
356,224.7221727653908
357,224.49715058627694
358,216.93568342741213
359,221.80023587509328
360,218.12761898639218
361,217.53465020155843
362,221.1635330547355
363,228.63326266374617
364,211.9803527436835
365,210.54567242507326
366,226.0917555164974
367,217.81880359739026
368,220.61718544297156
369,217.23948584150537
370,214.3773150762577
371,218.07061038419215
372,216.8298387425845
373,222.48603554473974
374,218.4441276085535
375,210.95053470450995
376,213.53842539026633
377,212.59232427951815
378,204.06535760548599
379,212.83765457381173
380,216.7813023625005
381,227.58726331196436
382,228.92560456712908
383,220.59362869223682
384,212.06360280709393
385,231.0208856514844
386,202.55254753639667
387,211.7622335788229
388,204.38193312971904
389,216.67422842533813
390,221.23330945764317
391,222.51775636882036
392,229.0717351834692
393,209.73796526115646
394,226.63041130915212
395,226.1247060382897
396,212.3331030480371
397,217.68962858552558
398,214.333081389973
399,206.74161590121136
400,213.3229220946404
401,228.32724065216055
402,224.6376428712017
403,225.24595807010888
404,223.95305204095493
405,208.00034932376894
406,220.99813597571125
407,192.82789498199128
408,214.9788494414472
409,227.6342979771835
410,204.58591147958904
411,223.08260295563016
412,232.88370922059045
413,214.43842362157463
414,214.05813940351211
415,215.43787696208273
416,227.20445854523763
417,220.30282308378418
418,204.87630687016653
419,218.23837423301023
420,210.22502660991063
421,217.78899562640706
422,214.58396618179256
423,217.8856723084119
424,216.48357389631568
425,210.62843622645445
426,208.78499751467808
427,200.46263095284516
428,194.7884858951031
429,228.66289468945962
430,204.87889345101894
431,213.41355937081647
432,191.79810607616943
433,205.12760735972444
434,221.95447474978107
435,201.19534562004378
436,208.10847765478593
437,208.83659544020662
438,212.14058038807676
439,203.10696156961225
440,215.77615046786903
441,231.73297662753208
442,198.82786401237712
443,206.3135934283391
444,217.5170147335455
445,206.7300865224568
446,201.546654572287
447,221.5784240489265
448,211.48906732360197
449,203.53697938800258
450,223.00125884815293
451,208.94473601620274
452,195.1943456970721
453,217.61762409278018
454,211.96909001831233
455,218.07955769879217
456,205.1402507128762
457,210.19375507038635
458,214.2876554031732
459,194.49657870886801
460,218.32516096130237
461,203.37486068570527
462,199.6038998191971
463,194.27504176625695
464,208.22192664101885
465,213.18642267153578
466,218.0090535159204
467,207.49555500535376
468,214.46378133864425
469,186.9722840701492
470,205.61416242041184
471,191.4308538611838
472,217.63866795776033
473,208.67655931196546
474,217.40305810389876
475,199.37494193114708
476,201.43963708019663
477,191.20931955847553
478,218.3342878069418
479,198.28870363550718
480,185.36169915657868
481,202.14142354463928
482,215.8477671436146
483,213.87517717168785
484,202.09252534400213
485,197.80492563145495
486,199.04417833417182
487,203.8571389647601
488,198.9896257478825
489,219.56445871632337
490,209.76269640078684
491,208.9183715205527
492,198.83878895361823
493,216.27370345430222
494,215.89898725567656
495,201.01287252774603
496,201.817783033625
497,198.1196952532057
498,195.3899480036675
499,180.5190060368885
500,214.9949975639642
501,198.1695468496341
502,214.21819083945138
503,217.99369892888555
504,192.60089399071936
505,188.2625141895483
506,184.28150703409085
507,206.7350506673104
508,196.91374483030674
509,182.4058948368086
510,215.74604396052956
511,208.89733880994115
