,Difference (+)
296,976344.178367907
297,178835.66816092262
298,144936.89627014438
299,3007001.047125878
300,29005.70546934503
301,283454.1823197279
302,47165.84497263201
303,232808.90027662198
304,75031.27897632931
305,362419.8145849197
306,184710.49039425066
307,65960.30142602572
308,69247.40211274964
309,228710.08802785675
310,521108.97574386833
311,154207.57300036025
312,51316.275338995176
313,258076.85166660798
314,99631.79304934709
315,31468.66033448228
316,17289.83236605291
317,312229.4679151769
318,128208.55171972836
319,39999.232769669936
320,154655.51489374097
321,376027.16488455114
322,40438.556842428115
323,39771.38273995349
324,355481.7434764029
325,169179.87702267754
326,51797.29282772624
327,22187.342619256553
328,57095.95087100612
329,164558.16977795315
330,347330.0613988141
331,674903.922972795
332,51440.05163093135
333,89169.15222003237
334,24201.9257558446
335,26167.847002859904
336,235341.42210573456
337,484726.62942699646
338,253733.29429370293
339,20696.646287793683
340,95966.07391784579
341,20677.936369124076
342,28987.51966146189
343,8806.443061436992
344,39268.67893040557
345,10030.097998618377
346,35640.576132521746
347,7160.66500269211
348,14102.760387668843
349,15928.138525479151
350,15472.810517718039
351,7648.710548414137
352,24177.03448228496
353,30720.43882754574
354,28196.72837592223
355,287403.931239853
356,33550.45142530307
357,25337.764865735127
358,5911.12650257413
359,3776.652672537032
360,6652.073115571787
361,8192.473886659724
362,7367.091306412172
363,379272.9287178987
364,44820.47692659951
365,10636.046330842297
366,40406.7440133986
367,1605.9309460144325
368,59508.70665931767
369,10224.05596548642
370,50423.539657304915
371,10930.329056849856
372,15468.914929913983
373,29905.329303324706
374,11327.904121163927
375,46428.183153183876
376,13414.734420177389
377,32602.970316132556
378,34757.12799415243
379,3499.2282990829804
380,28357.283435450765
381,8929.521789960818
382,29702.515841850025
383,24124.78834504454
384,73485.01533489938
385,2371.81194403421
386,7893.36511892596
387,15003.552094057159
388,5143.602822649883
389,5946.032025255414
390,2352.7694057055087
391,102755.66680417722
392,4499.648164829733
393,9110.335700782029
394,8363.717038670029
395,50561.50060553522
396,13892.283758926724
397,6836.524927260793
398,12087.857155786342
399,5645.297988895159
400,12463.091077689187
401,3740.404151496356
402,38464.37827964492
403,32194.454498104686
404,21855.56382855047
405,593834.6231191993
406,17174.91644278696
407,31273.821876555055
408,2209.2030443135995
409,10146.754093815161
410,1839235.2007917133
411,24023.918863770978
412,2506.582419620031
413,169692.20768953618
414,98353.31662576062
415,8924.046798364687
416,7869.813648306712
417,3239.3779499255525
418,5627.973855061485
419,5707.871588559806
420,3925.4835541244306
421,5452.6392867824725
422,7269.729942855573
423,15423.901871484055
424,5409.636132688411
425,3104.8993069812823
426,8475.301920123813
427,7015.641431547389
428,8991.686070317306
429,2122.325558028794
430,4884.308526181654
431,36117.19042441625
432,6712.850177071781
433,489.48593666033173
434,4081.6810359638016
435,2174.3873696029095
436,979.145945044863
437,1403.2985124575455
438,26125.39717081932
439,8231.664465803125
440,5660.5766366089
441,8498.230108912936
442,1721.6639834175874
443,5798.949701761214
444,2619.3339951247367
445,1748.5561493967195
446,216593.47847714508
447,12325.923784749339
448,1030.7459775588006
449,1845.0915922759739
450,3815.2037967848983
451,2687.9451016324315
452,5439.112632475461
453,6774.24616424637
454,778.2597556421249
455,17475.741331258705
456,4050.3148336908675
457,2988.7061233330246
458,3358.9910467556942
459,1642.0528449799478
460,28680.210329430352
461,9156.117549705408
462,38140.62178081574
463,732.8406988617556
464,2638.058139014175
465,1070.3555216242291
466,2857.7546661940783
467,5145.085541108738
468,12021.066180433385
469,16840.945939179637
470,211.4175259951667
471,13301.447345749706
472,1285.0376591760792
473,2756.273728764003
474,2000.3022281718527
475,819.2516605730184
476,2610.18637317417
477,8455.21362534947
478,699.8394075527917
479,362.78331689680573
480,326.2408073336
481,3956.631596965174
482,745.7907466428703
483,1789.7975545849652
484,4601.669720541024
485,1846.738615898501
486,1239.8454264860386
487,9415.770723721309
488,5071.49830234363
489,5361.956068067369
490,4577.3288421484995
491,1605.2063666602319
492,5438.162607777827
493,358.51746230452693
494,3217.681527086686
495,3904.6435293634704
496,5149.324578904104
497,307.0621751549476
498,723.9077658126948
499,1105.9444238578114
500,8684.425127349807
501,5055.010021097356
502,21488.932908927738
503,1301.7063576076469
504,1257.4513758765202
505,5190.927207008497
506,1127.0325044935976
507,129749.30150818765
508,4112.451079466872
509,2186.6321068501516
510,4081.398943603639
511,754163.6353542033
512,648.7235673504869
513,2021.7614845793394
514,873.1910413700596
515,5076.030877274891
516,10930.181723116017
517,833.7158222845104
518,9093.523178174808
519,1273.9447244375945
520,53288.27114186539
521,3347.4293572139964
522,345.2724050233164
523,951.0830468892358
524,40155.62312834626
525,962.8315803884361
526,361.5770202554336
527,4177.022174749201
528,20155.15193228506
529,208.39312674763787
530,1731.2302608345115
531,923.7453281988871
532,21199.08021801854
533,2700.703965270154
534,3223.6992233135043
535,1927.4675451133462
536,451.93130873364413
537,2346.0002449673343
538,2203.7463219539977
539,18188.1773749163
540,64380.128109163845
541,993.0639157579081
542,3855.6666583296073
543,1307.8640556870894
544,1103.0521930362129
545,12815.293845404236
546,549.9673224697926
547,649.1364880124914
548,1877.4327107036113
549,3093.482827337508
550,1058.565360449001
551,3679.9418663985607
552,8652.855687270776
553,359.208353288964
554,31121.46040221688
555,608.2721166150717
556,2200.6302758205848
557,428.3437736282331
558,782.6135455983641
559,1808.4100324026356
560,298.2934464148821
561,6451.221612546557
562,2546.6591033054765
563,641.9018022826954
564,3016.9309666164486
565,304.408817706607
566,3472.457849211334
567,2853.425247673175
568,1052.630262680951
569,297.766823995612
570,3171.599274916474
571,6849.077246573135
572,409.7838275446228
573,6728.221535313868
574,4378.486222384292
575,382.99391651515134
576,2688.3002592691564
577,9124.342903108512
578,518.6828178903035
579,1312.5820805593667
580,84.38629713126974
581,94.10648342585499
582,3535.3245828862564
583,1112.7195948131655
584,1517.8474883662916
585,6400.453514228773
586,597.5296773495605
587,316.78196664849725
588,562.004887990257
589,936.4695123428722
590,2958.702257238715
591,7319.891118036196
592,3219.5144962948175
593,274.0126446031045
594,3782.9088902080725
595,10872.776387723534
596,823.3731530299848
597,424.8022352204402
598,5357.802816121754
599,1505.390999943023
600,3041.3098974819336
601,4010.0929489747527
602,7403.862990846097
603,1118.7854157734728
604,242.1396899752559
605,1070.0140028943833
606,8078.0992549097045
607,1386.1864916037123
608,852.7842345833787
609,391.4320882134518
610,1167.3753918129084
611,66755.92701043408
612,2315.4280083312506
613,2875.7978971100215
614,428.8044387695066
615,556.2622110110833
616,236.3660959689747
617,629.3770174749191
618,582.9480112563025
619,299.311219446642
620,648.3395379225318
621,450.98791170693414
622,1146.715048907781
623,469.88198845812434
624,276.2032445940955
625,3461.841796637429
626,172.86207936745544
627,4352.22215843747
628,433.1581082305116
629,199.1947362390844
630,598.9609394047133
631,318.351308200022
632,74.24649916492532
633,188.55480681896415
634,1934.4677519057668
635,936.3174382714128
636,230.69741813552855
637,520.4856589192196
638,7163.466040764379
639,968.2187196478699
640,925.5533470533902
641,300.27544265929856
642,1279.1976594493551
643,432.84655196095736
644,627.5342953497044
645,612.0218408003335
646,535.3204517914539
647,111267.14498575444
648,279.70038548485456
649,442.45134251581237
650,1522.8160768421578
651,413.66428258198647
652,190.4805003004998
653,5002.293500315549
654,742.427446263194
655,90.24341000311153
656,230.69528986192842
657,2067.8545854495705
658,355.99500234202014
659,127.70973240464933
660,264.89782133237776
661,3520.785087480176
662,1164.6211994618484
663,64.12862608175782
664,334.895256857045
665,174401.239352874
666,345.4592049612018
667,928.2958333309782
668,42322.74382541516
669,60.39479796132493
670,3307.0075766311056
671,9212.992368474861
672,182.9279796135121
673,5786.146174525609
674,161.48673157318478
675,2960.427981080688
676,145.70106897337314
677,534.1025210310712
678,5549.229386397332
679,178.4242485311556
680,60.017082095417486
681,229.78368329761417
682,531.4687974917265
683,96.3120684389377
684,769.4771865651227
685,406.64567865079925
686,418.35859961238475
687,511.3856692529687
688,1282.6542901218277
689,432.03565060466815
690,2369.9792461138386
691,2703.087268997247
692,1051.4574325682195
693,365.70236723170984
694,2152.3155127830205
695,60.30162322705905
696,783.4259416552244
697,1636.4128929173746
698,478.0436119792601
699,3165.950783651914
700,679.4872747332452
701,919.1941968654477
702,665.4222705559304
703,35.853635019299254
704,58.34352775790594
705,1518.2252323981843
706,1557.3892230094555
707,134.30164447321135
708,148.5790540458936
709,308.75524739650666
710,2381.5404053434595
711,46.11066703943609
712,13204.754004050608
713,629.9438881805426
714,170.32356279065309
715,431.46791648366025
716,111.85032448306838
717,55.340842152131366
718,163.71976877949913
719,226.1458699734331
720,1790.6887034202766
721,167.04856024469453
722,7930.851348125629
723,338.32092349065624
724,3447.3116253008398
725,290.60865256942054
726,489.0233001032494
727,6962.873602279177
728,1759.0361250587011
729,93.48306151487184
730,511.7456005353414
731,816.3499058798446
732,58.77127142409678
733,514.4019801638153
734,59.27780866905147
735,1778.3597125476654
736,49.72575865136156
737,445.7163291909018
738,4093.8297536190216
739,103.98008582177033
740,20088.199405156905
741,4399.800034313711
742,2799.7549176474354
743,360.3286015644611
744,2112.2252029119563
745,5274.307390118689
746,260.9845946646218
747,201.3883833339717
748,67.21489121322942
749,2738.7912174993603
750,392.23979271016526
751,320.0315888515824
752,10935.591879341231
753,435.7753854819333
754,390.53471744052365
755,1989.6776944759877
756,146.80623383187466
757,25.178910947067543
758,202.61861067982355
759,244.93127485122108
760,55.727302240083695
761,938.2532739180514
762,1320.6555749931622
763,278.6915728690756
764,1709.9491072949688
765,29.024196918228377
766,88.24062130822499
767,2531.620227267685
768,77.72353552419236
769,82.6910852131796
770,236.21730156633035
771,13296.167228649469
772,53.496498214030815
773,507.56587979965326
774,232.44323051558104
775,259.96566245389397
776,1113.1916667933504
777,82.36403505203204
778,1041.6925629052803
779,1443.981869989536
780,201.5141553952644
781,182.23059719198235
782,11735.349955310397
783,152.054357373703
784,157.41677442807497
785,59.73136378622995
786,1074.8871824966066
787,202.72153606792054
788,497.8179377940196
789,201.74304785380366
790,491.00214063519775
791,122.75948400128706
792,358.1749682304936
793,374.9954890626189
794,118.87864974147041
795,98.42607979696398
796,1793.1743011688457
797,355.87757682914895
798,172.3516929487681
799,599.5244836420023
800,24.22010449022744
801,685.3888612057738
802,9378.16311810828
803,218.70872687343893
804,16.333201496833762
805,65.67295390477807
806,494.6302694971771
807,1186.5608345915598
808,20433.740715005788
809,61.069336726202096
810,72.86053395504673
811,2672.9076700229634
812,567.0605849344796
813,3294.84299226502
814,1984.8628472280698
815,67.97451218711593
816,3042.0847525438403
817,406.4597657613197
818,34.945902307042616
819,214.4292585151376
820,1056.11715471891
821,3095.1993936370372
822,31.23112973814721
823,467.0651940824869
824,168.82994691302866
825,26.959216395419656
826,51.630238754467534
827,181.01337154700926
828,96.6680408565673
829,299.687612878018
830,120.45194179526929
831,357.91568855397935
832,46.52265410963991
833,87.1677441455275
834,18.98195341772753
835,902.8025114646222
836,578.3751515295633
837,281.6730387708757
