,Local (+)
252,59796234.61969858
253,45437467.437826805
254,32626229.59816677
255,31341904.820651554
256,13045191.39806589
257,53080607.09513608
258,12706482.263871927
259,182377268.01394573
260,26155441.977233022
261,24538198.806067955
262,46222167.51127243
263,23947077.187051356
264,66373306.81174725
265,14897314.012912229
266,24734019.592586692
267,18165951.14525482
268,13044363.769217977
269,26059196.14847095
270,13003736.137530476
271,21037629.561642803
272,26323087.03144234
273,20963084.35972508
274,22990817.44343084
275,122320149.8282814
276,51107035.2034453
277,43653586.57918208
278,12502567.108325584
279,21707807.457043745
280,15367201.751995703
281,59859092.327996664
282,27331070.24821287
283,27545906.044000782
284,57618814.14695515
285,26528134.796756618
286,31206240.71275182
287,20306628.97199482
288,24872977.576343622
289,18103064.528578267
290,66830752.4306702
291,49492587.61608192
292,8335005.463464427
293,38196746.10252331
294,18401935.765506282
295,29373347.970184576
296,47276619.78150592
297,12252701.036162624
298,34066337.09535618
299,10171337.113996152
300,24823327.252025284
301,61650369.76136281
302,23276053.733731866
303,48246126.979547516
304,19530260.063116014
305,21875773.734509163
306,20252099.92977644
307,10677031.59397382
308,16913514.01270528
309,57617955.245558836
310,49328361.77330797
311,15049816.804629637
312,17469608.569145896
313,23493181.995260917
314,7186775.574961089
315,8102281.727496881
316,8105861.206492741
317,12688037.482074123
318,8576567.544684721
319,26662084.258076444
320,26178863.90555706
321,34639119.15663105
322,10234554.655044895
323,13640374.843889715
324,40274327.61694508
325,31027787.59639314
326,33051692.469802875
327,14177552.362584932
328,10173939.888813581
329,23701609.641694974
330,11056153.686040333
331,20424570.393594287
332,23835189.43399286
333,23458940.11449354
334,12647798.666047161
335,10658954.965587292
336,28862930.078603446
337,31246906.808701478
338,3678683.4211614905
339,9367702.073492805
340,22227787.36012519
341,43571210.39365948
342,10465575.087560447
343,24928265.4935441
344,246765763.7056269
345,5741216.1578445975
346,33530721.208420113
347,8764907.216279965
348,49555233.13382689
349,6523012.2466868125
350,24998194.248572383
351,3494643.211539767
352,11696535.499856558
353,7959455.001258587
354,37062278.36358293
355,8284852.483795644
356,22143076.149302974
357,22559964.005026165
358,62864877.210319325
359,240454228.0219846
360,53256997.49239548
361,51934760.992131926
362,114917513.45807487
363,24419670.58227599
364,8864769.781167688
365,111806010.0111718
366,38139165.22138241
367,28484444.657420732
368,11561346.974021949
369,6540503.382722984
370,66166195.28592614
371,7051372.989194436
372,18951580.804187052
373,16375798.54547632
374,21091942.12256186
375,4258571.24584039
376,5754447.925421424
377,8289426.633313595
378,7506986.70374468
379,18452583.49719972
380,88354151.49009389
381,22003372.43304296
382,104485985.47881928
383,14161935.95004011
384,8861751.60228753
385,37220037.950568706
386,21588335.832369648
387,16611357.028570646
388,57829626.61680377
389,8434846.11984645
390,49535067.54280659
391,52255495.29588665
392,28302282.878441367
393,7928068.216121995
394,68295711.96127555
395,1169120386.7246823
396,13222247.595971512
397,75475948.42239667
398,63376229.29829458
399,16518771.626902515
400,12172501.051209839
401,60922369.572958045
402,20226415.010402985
403,8722286.589536525
