,Global (+)
133,417116725.81233126
134,966426683.7017198
135,381726886.623356
136,308479825.9142189
137,152701802.01772857
138,263423286.66951442
139,99915157.48791716
140,220679762.563837
141,190438137.67274544
142,145477751.435422
143,175015721.76229107
144,422957937.617781
145,123760597.25025088
146,117697337.05155216
147,236786417.887824
148,223875137.25709683
149,143336950.48483044
150,133741920.46710962
151,151620001.2483771
152,97750812.23295532
153,145937380.11282194
154,138957948.87394118
155,121970297.77006617
156,195702241.04677233
157,73033826.32465976
158,160815588.35323918
159,94994562.67897281
160,131670050.3896256
161,116980924.9859325
162,92036787.77579257
163,77187600.35291916
164,115987412.62836525
165,56862292.57061579
166,69397705.03697458
167,77937391.33985691
168,63154829.14901745
169,209980780.6135727
170,56599867.05374259
171,58586659.04217388
172,51285097.12853183
173,84405143.9246796
174,30452750.635361757
175,96400826.49462214
176,62816160.78779927
177,50920110.40746802
178,37329963.0704378
179,51491480.96495316
180,31716938.123308975
181,46046274.16942077
182,30483346.215937294
183,18715150.63349801
184,28930393.264970593
185,11256402.666173426
186,31860195.102096688
187,25469091.54629632
188,27216326.960176993
189,18569082.30599354
190,23693504.563313805
191,18217987.250111666
192,12312293.568629317
193,13483042.692673951
194,13146183.694727289
195,23568515.68970291
196,31546936.88283847
197,25072572.83412536
198,16874266.6053232
199,13870006.99707639
200,13693912.410399789
201,13729608.779888134
202,46505078.94787055
203,41433548.97912923
204,6562062.911912884
205,11929430.9753498
206,10940751.507871956
207,3193566.5301599656
208,9032845.926858317
209,8899735.738779739
210,3619339.89228919
211,9813238.273426833
212,2988982.3506522514
213,5358905.558395596
214,4707089.761955477
215,9679723.894792438
216,44706313.92659176
217,2867387.6284529357
218,2626955.627010337
219,4796209.521266451
220,2882222.428620208
221,5932948.798199926
222,10063626.695594182
223,4163682.5233819764
224,3006761.3972433223
225,3971445.1444614152
226,4463331.073963524
227,15258560.985507363
228,5407096.834787144
229,2513901.2656417782
230,3877338.712445699
231,2511993.8138701883
232,3444586.1089957915
233,3068833.7587614167
234,3855112.7272505728
235,2930937.465587247
236,1451774.0660289107
237,4036881.442051667
238,3609054.9209763124
239,1216084.3235849675
240,1446635.6790636822
241,1026662.4291002781
242,912356.8510491546
243,1537100.5512204624
244,24858182.30766787
245,501633.5423312692
246,869813.742789861
247,675001.4697877691
248,656838.481606826
249,697904.5384069411
250,929755.2939681446
251,578380.8540176069
252,892726.157905684
253,441020.48783699935
254,442244.3507448677
255,523157.5047800957
256,238994.58591803818
257,1018614.6135586514
258,906371.8232845765
259,943644.9234632634
260,530816.0078593204
261,743238.369321742
262,668658.5644427721
263,2294952.0926713836
264,264907.2164724463
265,157640.93812343996
266,1502287.3440492705
267,409205.178969004
268,618132.7685768378
269,251662.8530501686
270,806362.0106321222
271,147306.42784030785
272,648149.0803056726
273,126091.45661534191
274,129595.54080203496
275,202402.0971061917
276,168771.0238890351
277,128439.37364522375
278,170122.74542231375
279,154815.9263591711
280,96656.68221688604
281,713194.8955032368
282,172247.15736226572
283,167617.10419555957
284,263984.7814119618
285,189330.91273837307
286,142511.46820879026
287,83189.55857600112
288,246529.75423071266
289,290421.21149208595
290,157901.00647351478
291,162977.8910324643
292,73734.47756241189
293,56008.00560460515
294,81734.56074878851
295,66814.03714370597
296,213096.4189575033
297,114225.2968415008
298,517194.70073656936
299,22288.277021367623
300,35354.771839368055
301,94656.64923244312
302,68622.3140221724
303,90660.34725334699
304,57157.78293219423
305,18142.658992628647
306,25863.988402784442
307,58583.21662169918
308,59739.170240002284
309,126289.31417023623
310,21265.497965819734
311,70651.93778755116
312,36107.47762662634
313,206122.7240183792
314,46705.79774192439
315,37061.923162423445
316,18133.091237594952
317,33696.62456712252
318,23322.551202112278
319,96003.15524023393
320,30293.870514276827
321,47348.78645227676
322,114130.0428027854
323,32218.326328450537
324,17911.65539097267
325,72206.66440563873
326,31948.756512335134
327,72629.07121394199
328,24957.75820123013
329,21767.966296307975
330,47491.8866102018
331,61643.21881292041
332,20833.847011619455
333,7707.881977098309
334,26723.225890387726
335,27621.34052713808
336,183082.184843027
337,35100.956824165485
338,21450.754211146523
339,91248.01446253563
340,23338.80185631795
341,16173.507417693589
342,43249.907599652295
343,6310.092156863373
344,23470.375822021095
345,140778.68264895905
346,8663.822687580547
347,15792.930585017231
348,16107.0588861634
349,15463.24966037677
350,24361.654022823644
351,7212.3974451633785
352,8342.899319274979
353,2855.7125784997015
354,34725.619343116705
355,8244.132387482676
356,8571.766645890022
357,11010.839368795438
358,9345.119594345795
359,18999.180985490726
360,3120.454430774486
