,Difference (+)
195,4.571450174786932
196,4.647530696695819
197,4.6481869639429005
198,4.672498694237791
199,4.678622906903503
200,4.602882647561684
201,4.683419993948292
202,4.505143631914104
203,4.424247294972789
204,4.603529011511775
205,4.64902254651017
206,4.5798731010784
207,4.483966422943917
208,4.412220888971032
209,4.504556608399713
210,4.51316342597264
211,4.544442675534579
212,4.57062926257707
213,4.592581135775162
214,4.481907608791134
215,4.444242334623123
216,4.438821498659804
217,4.427195315952165
218,4.626193593650239
219,4.436995784686313
220,4.485841110837814
221,4.462375149739819
222,4.468986850723626
223,4.435774438811768
224,4.377790573170783
225,4.380309733289121
226,4.389054283704619
227,4.3500800592362125
228,4.3066944264555325
229,4.325137669972664
230,4.392914046308672
231,4.312760840700944
232,4.343467484452293
233,4.281762121725835
234,4.316733150131242
235,4.34751820844203
236,4.279964096479574
237,4.387916181378713
238,4.328429865976189
239,4.462429819614269
240,4.381831862435679
241,4.34752319941801
242,4.362248406421477
243,4.314964306354733
244,4.293352845936819
245,4.410543841652559
246,4.1949338979201904
247,4.304857132832002
248,4.283325989906991
249,4.272280451095526
250,4.2166043074641655
251,4.201141831919806
252,4.257827704472943
253,4.17670482284168
254,4.213691023493033
255,4.214368343074827
256,4.209480902288188
257,4.083038644111415
258,4.144890326462927
259,4.1059750804640105
260,4.182202923212203
261,4.063852425653804
262,4.215886114418709
263,4.07920136540725
264,4.0643612843546535
265,4.179286490363859
266,4.052158560326535
267,4.097408068680755
268,4.200029812445732
269,4.160532550238533
270,4.067768879197481
271,4.06969662941829
272,4.122542405835361
273,4.157521344034659
274,4.091190367320373
275,4.068727050219639
276,4.13517733830313
277,4.106569702518261
278,4.093629091337985
279,4.058499704993383
280,4.086467037853091
281,3.9436589503849127
282,4.03093482061847
283,3.951914863920002
284,4.041271169461973
285,3.9361471208894425
286,4.00724016821188
287,3.9675060112317047
288,3.944862284812351
289,3.95176858356901
290,4.022871899315149
291,3.932782133747579
292,3.965689294478465
293,3.9969758436981166
294,3.986734503241743
295,3.904138761418402
296,3.9936873042292267
297,3.991104047374046
298,3.908412843332578
299,3.8314409521418913
300,3.846734404159685
301,3.96565113305849
302,3.9056884560405463
303,4.044767306541761
304,3.896269256713727
305,3.875299151601079
306,3.844544467953346
307,3.9363217948771894
308,3.7928897047950945
309,3.778193603698431
310,3.9445535411348565
311,3.8147058083109697
