,Local (+)
363,4.84867776717566
364,4.627890938698759
365,4.642678313924382
366,4.80094859557852
367,4.713651179848025
368,4.738765802805279
369,4.679111997928065
370,4.746189225017385
371,4.741571938058572
372,4.700353404316261
373,4.741399284948973
374,4.668523208126261
375,4.63884984232557
376,4.657657293597094
377,4.630273969457786
378,4.556310810122275
379,4.63831431987298
380,4.710561182985155
381,4.878259680630041
382,4.86377601502784
383,4.733841142213434
384,4.654339374332679
385,4.841233069275471
386,4.562913335959466
387,4.592606837832559
388,4.504840948415368
389,4.630020455415671
390,4.75252329995985
391,4.736415877860019
392,4.860100909540098
393,4.604049434617468
394,4.825968070996436
395,4.819405762163003
396,4.656671718903399
397,4.684225462539765
398,4.631047367447659
399,4.570090535954095
400,4.627555192854673
401,4.833320728752568
402,4.806301663037588
403,4.778396907691264
404,4.804877193633821
405,4.602342981738429
406,4.764503366206059
407,4.440932368180722
408,4.6365689848628024
409,4.810316439148235
410,4.560665559299415
411,4.7375066653721305
412,4.914539264315535
413,4.635314291316868
414,4.63776896219715
415,4.73781469930889
416,4.849212672197935
417,4.724271677210035
418,4.540108175171745
419,4.647416059669256
420,4.680309182860685
421,4.709959164262391
422,4.628937050723632
423,4.764356012181362
424,4.669106834200366
425,4.668885816401576
426,4.597235081093308
427,4.50580540618567
428,4.44793073081346
429,4.850581922768899
430,4.511449947830039
431,4.727883606659566
432,4.402621864066285
433,4.5527176642469955
434,4.6987446254898435
435,4.517772349546084
436,4.588562037491598
437,4.59112115896933
438,4.600590529579551
439,4.521892135923861
440,4.685990158545157
441,4.893417804370746
442,4.472929244652589
443,4.506796965239571
444,4.678049027649127
445,4.558553575919975
446,4.489984384540083
447,4.769267887293645
448,4.712650378359081
449,4.51293969377847
450,4.819959600749323
451,4.590934151407169
452,4.491277139605498
453,4.634788881834889
454,4.639417755392043
455,4.634749610825954
456,4.560697202175363
457,4.652704267572586
458,4.591106766644354
459,4.397438125046832
460,4.659189353637277
461,4.5115106915054195
462,4.476982394799659
463,4.425258947627278
464,4.5984290883268475
465,4.614930367016239
466,4.676759542541936
467,4.535719100749505
468,4.641396739784328
469,4.331388939495938
470,4.568066896473858
471,4.381318409512999
472,4.67254833116578
473,4.547854582139422
474,4.614457310615641
475,4.459102463041061
476,4.4607231020881475
477,4.386626276173507
478,4.7148351547107294
479,4.439277341683666
480,4.311498812156624
481,4.497507719050346
482,4.6557989192229
483,4.622077303630985
484,4.5087913913287485
485,4.458110760350333
486,4.448346339347302
487,4.5470545585434925
488,4.466595823045329
489,4.640197002569276
490,4.595739398529616
491,4.551566701074587
492,4.424502562886308
493,4.632582399569334
494,4.653317709415395
495,4.478699326683642
496,4.577110705952077
497,4.4911337415798025
498,4.377078441038579
499,4.221704781154417
500,4.635415979774235
501,4.386533423087539
502,4.647959669782532
503,4.657822695751922
504,4.349668041662594
505,4.337955734431766
506,4.275546665241008
507,4.508356367752837
508,4.416534013310136
509,4.343317629990703
510,4.660242570999258
511,4.555759537650489
512,4.611249315431416
513,4.8450737136118915
514,4.62664413693396
515,4.502274577975137
516,4.529952062252519
517,4.202515986557217
518,4.486541570260726
519,4.719157569568006
520,4.606509040611807
521,4.362820137093388
522,4.62604066081314
523,4.633518973831743
524,4.483239695758534
525,4.422318913625808
526,4.67146402020035
527,4.54692034139351
528,4.525340415052584
529,4.588289971144999
530,4.562463363739997
531,4.425177634620867
532,4.552351633633201
533,4.645122753989885
534,4.48166763375601
535,4.806437180266861
536,4.402559149497421
537,4.526572859845565
538,4.516789920391087
539,4.57459228463008
540,4.335766092448583
541,4.562525189842121
