,Global (+)
144,4.825570331739887
145,4.791439877482273
146,4.754561729646146
147,4.809387471346961
148,4.744965910610188
149,4.741129074937161
150,4.782423296766306
151,4.696684824154709
152,4.716050905016633
153,4.744257175207196
154,4.727161062312152
155,4.643089130337489
156,4.673662754460718
157,4.633674614793553
158,4.688121098719569
159,4.658653651740848
160,4.705245795413448
161,4.629517608958173
162,4.65129897978066
163,4.5964940880741345
164,4.588729194231838
165,4.585372137556493
166,4.599650867319291
167,4.615354833878301
168,4.558122283178465
169,4.614019661964754
170,4.564492559914838
171,4.574675155538692
172,4.515357784790767
173,4.5416756953334545
174,4.463818185688978
175,4.501287168356635
176,4.512055581651851
177,4.472183485719304
178,4.483075744047402
179,4.480143322848842
180,4.4207732299322355
181,4.48684845717435
182,4.483328924671988
183,4.477268362169044
184,4.378397377648821
185,4.3533589714436065
186,4.438241311642946
187,4.417267465343437
188,4.41290014325355
189,4.330774259818035
190,4.3448635619201585
191,4.3705190956693665
192,4.316134981610604
193,4.314500694998809
194,4.328868203405744
195,4.304848734467121
196,4.343953344840332
197,4.348459052838014
198,4.256338516650951
199,4.254816803515064
200,4.243775078502733
201,4.308158304176396
202,4.3027234477472485
203,4.2182553170404
204,4.182187563945788
205,4.234698290257489
206,4.282071672505955
207,4.1902217775834005
208,4.215239501185113
209,4.267202906706217
210,4.1746025031279865
211,4.218973803533082
212,4.161284461644345
213,4.154184911952377
214,4.210561623688313
215,4.177817274059451
216,4.203469738682255
217,4.138939867511987
218,4.1028427820632
219,4.141462416846045
220,4.090643094395252
221,4.1477774861033945
222,4.180944217095462
223,4.070659041843272
224,4.1145059346449875
225,4.113391960826766
226,4.137881535273993
227,4.06706434006367
228,4.087124434516158
229,4.005642300259878
230,4.046351538957114
231,4.03891844888446
232,4.0202726611296
233,4.045147963652271
234,4.106108745717446
235,4.079348182298542
236,3.9758535821869425
237,4.062061194019867
238,3.9969280452939855
239,4.014090099119949
240,4.00213906755733
241,3.9856886744733147
242,3.9357593176604047
243,3.9745309575505674
244,4.017278015829933
245,3.8801319010388826
246,3.943648606406408
247,3.947199876014118
248,3.911563682671435
249,3.8927029693499953
250,3.8735080716118513
251,3.864631503671336
252,3.8761375665606685
253,3.848950053117794
254,3.883827541626378
255,3.8654149932315027
256,3.831193474633792
257,3.8151585169445137
258,3.8793467813578593
259,3.8827867390591417
260,3.8309464825992596
261,3.9155576014624947
262,3.8036682327805154
263,3.869391431090817
264,3.815058441448252
265,3.807116294908003
266,3.8347009370755503
267,3.8086679087099276
268,3.7861173607222076
269,3.7656504058878264
270,3.8452529583488544
271,3.735524214894941
272,3.7756065977138005
273,3.764991925519643
274,3.716721057549248
275,3.746752313965102
276,3.7324800880891584
277,3.7167385244824462
278,3.7043880145287114
279,3.75178768344918
280,3.7074629836229085
281,3.7308742273069333
282,3.718639425310279
283,3.756278028870938
284,3.693096899028694
285,3.7069688071570983
286,3.6255724891797314
287,3.6750413101445942
288,3.7308887940756663
289,3.7126728765874804
290,3.6325963019847967
291,3.7503082872727114
292,3.68642104808299
293,3.6920173562507883
294,3.6445891997013242
295,3.6398325689669937
296,3.718775056091112
297,3.6623847947230077
298,3.636068678708869
299,3.5669758042828934
300,3.613968217276275
301,3.640861082034579
302,3.655326167826236
303,3.6311395819370644
304,3.56207688600289
305,3.51355514488233
306,3.5345283980628714
307,3.6095848570095725
308,3.5820589332125574
309,3.560870518873432
310,3.533049495614536
311,3.603110552169975
312,3.5638493856431954
313,3.5891937681899324
314,3.512165715492729
315,3.5588735720476685
316,3.539104132825075
317,3.5658205190024885
318,3.555154453402588
319,3.5078995682925114
320,3.5515191092630722
321,3.4849702124896895
322,3.655516966777233
323,3.4808932896090954
324,3.4621800297569645
325,3.501993827024312
326,3.533049126779744
327,3.513448098430789
328,3.4772477426653308
329,3.500866067120804
330,3.52512854477036
331,3.5123106480011446
332,3.454888523833585
333,3.4331779837241685
334,3.4967775183467777
335,3.455193894571174
336,3.48766839895136
337,3.473831653245785
338,3.4242960690834447
339,3.4963860745122757
340,3.445798816944577
341,3.405580243615266
342,3.4243155325987105
343,3.3908135465914224
344,3.458757793264177
345,3.5089682919330176
346,3.4451729373311712
347,3.4456238029240964
348,3.4068089822284304
349,3.401918280901581
350,3.435790223463108
351,3.3463567404538104
352,3.401615302611171
353,3.3381930674092777
354,3.414148530869478
355,3.393852850915849
356,3.335399572542597
357,3.3638245933153343
358,3.392758679803674
359,3.394427249726211
360,3.3138716162475634
361,3.4144714674083207
362,3.354460699041599
363,3.3790899745314205
364,3.4076091294673656
365,3.406835456620723
366,3.4464553621399143
367,3.356729151868419
368,3.3061794407955793
369,3.409967582722269
370,3.3006990525860926
371,3.3259650772725924
372,3.288790202282099
373,3.3479414851762206
374,3.307109634201658
375,3.3833646647821194
376,3.2684346880131363
377,3.2697060112751815
378,3.2106074516490097
379,3.295677256058657
380,3.3207633874171423
381,3.3396743915538463
382,3.2929145429274262
383,3.2389522958183266
384,3.2738193287344077
385,3.3140220974750636
386,3.3503726962074754
387,3.299299095205675
388,3.3331522854975146
389,3.275169075886644
390,3.2718600473031634
391,3.2916919591663407
392,3.3050686772752043
393,3.201677246570184
394,3.224908041066175
395,3.3173388633781946
396,3.2523714509477837
397,3.2827820583945173
398,3.2191280112616583
399,3.210414106150727
400,3.1835963290745175
401,3.2883969684820413
402,3.2580770464620685
403,3.292151722131162
404,3.2323398944425383
405,3.302473998643193
406,3.22538939904162
407,3.2603264425110448
408,3.298874171740763
409,3.234809399552743
410,3.2320855356585714
411,3.2289963310655203
412,3.304640507915438
413,3.2204843603217137
414,3.161245981965441
415,3.2097267325468657
416,3.195833153289345
417,3.2310889229754616
418,3.2079321469141973
419,3.282436118299894
420,3.2183183798874007
421,3.240804321433844
422,3.136462203361557
423,3.224523207933882
424,3.3235619714653755
425,3.2358023086100896
426,3.145592914010458
427,3.29413765660508
428,3.218533654719713
429,3.2144942184307332
430,3.1715659570931036
431,3.16173797676117
432,3.2061564704464014
433,3.1566508497880443
434,3.1644974914783646
435,3.2184634000447896
436,3.1517497951649798
437,3.189823598313323
438,3.147586464398721
439,3.2020031573354584
440,3.1737235619055264
441,3.1358548060084903
442,3.1916395090762535
443,3.070972522067927
444,3.173035722779892
445,3.2008656879437707
446,3.137539840215287
447,3.15168040369177
448,3.209317082518697
449,3.1191324206938984
450,3.1076199941215967
451,3.0944589249978445
452,3.074242404818979
453,3.1658679190532086
454,3.052024381485517
455,3.222524453330536
456,3.16176881483922
457,3.104613306576197
458,3.123667450101452
459,3.1696194462560734
460,3.111262508724171
461,3.119578405481498
462,3.111618302804525
463,3.171956792472678
464,3.1755956075987495
465,3.105135313972798
466,3.1262593324106698
467,3.136608723647785
468,3.174388957124513
469,3.1040004548446882
470,3.059654143824897
471,3.1697732888092927
472,3.098248698125483
473,3.0516797339554795
474,3.127223526810419
475,3.126163995934324
476,3.0338771643300455
477,3.1168948403337913
478,3.094560206634226
479,3.1050682886972654
480,3.0851789484071146
481,3.1093228203318826
482,3.109178188534935
483,3.150236829504213
484,3.093588689703544
485,3.094855896520089
486,3.1456767112122437
487,3.1113914096391198
488,3.0775852844402714
489,3.0858686732065483
490,3.0784789515570874
491,3.0517325346299993
492,3.0502870615428397
493,3.0441158142333515
494,3.0692401084290415
495,3.0637478221296286
496,3.115594613498111
497,3.135539813374679
498,3.1225649549430843
499,3.10901525275744
500,3.079652645185278
501,3.1025168349675867
502,3.0598249559865023
503,3.113938469522982
504,3.070573904060676
505,3.125980878035274
506,3.0799050666413677
507,3.0941735009829143
508,3.105617939270643
509,3.0639869685906107
510,3.036669174374448
511,3.0542310589560437
512,3.07987529599012
513,3.1007157037084516
514,3.062034838335818
515,3.0801304709122697
516,3.0289711289460106
517,3.094019442122574
518,3.128447241833123
519,3.046829958230722
520,3.0876335340915335
521,3.048682273836935
522,3.0582882927326347
523,3.0363231410070584
524,3.1052106244994397
525,3.0797167755139485
526,3.052752522287458
527,3.019724934113764
528,3.045136889605706
529,3.0199560537414767
530,2.9933647634010137
531,3.0725816006916524
532,3.016837172679465
533,3.0061765533981
534,3.0849464835488134
535,3.061964627460141
