,Global
0,3.4850193614498832
1,3.6605141225026316
2,3.4478263559496227
3,3.6484822373147794
4,3.5416955029360255
5,3.5505560180335713
6,3.4404779079053975
7,3.6571014761047937
8,3.4722961740572624
9,3.5902676827171396
10,3.5729002255879667
11,3.472981690221457
12,3.53789932919808
13,3.593818638481037
14,3.4932051944075972
15,3.5160395063345877
16,3.4516484894446835
17,3.515741696700527
18,3.595242353559663
19,3.4471922044028864
20,3.454147657661607
21,3.5093306055188576
22,3.5716834827230226
23,3.486300870150896
24,3.4090304481212756
25,3.519656556430593
26,3.697885048381614
27,3.6290591593554042
28,3.4882561203042926
29,3.6680931482307697
30,3.6003802316626197
31,3.4967742200464236
32,3.64690837211778
33,3.613670133494535
34,3.445817111017083
35,3.440124523989346
36,3.6239799386129254
37,3.415237848766792
38,3.410348105651387
39,3.626610498557838
40,3.642854355832465
41,3.798294746874924
42,3.5680342328546137
43,3.5396028100402828
44,3.5400708022934895
45,3.6020953624958523
46,3.562289878879433
47,3.7495125716345608
48,3.5443226057511144
49,3.4654391274259875
50,3.6166235551275006
51,3.5894231903302245
52,3.6218536223306983
53,3.535379900232479
54,3.5172120820011608
55,3.5236027380656294
56,3.512471044872245
57,3.6233276225948456
58,3.7125215150805553
59,3.5607836692026154
60,3.5494662057293453
61,3.721278201293449
62,3.687146139612167
63,3.5069401672967127
64,3.5523083609320723
65,3.4213734142853607
66,3.5556096646578585
67,3.4765232974961577
68,3.523325533774669
69,3.5673650643561334
70,3.5157644180559537
71,3.5297977891607433
72,3.496600127603614
73,3.5835669643548105
74,3.572899592169773
75,3.401447151820563
76,3.6029864515953225
77,3.6012584656998716
78,3.5006389325306153
79,3.550354379753697
80,3.513577839007768
81,3.6897839819924036
82,3.5146381245457246
83,3.5793715623067865
84,3.5910403496752554
85,3.576218475141832
86,3.6207272113720244
87,3.5277149130036816
88,3.5451506091835894
89,3.607442946461819
90,3.683384121874376
91,3.568211754242568
92,3.501024295424352
93,3.6232537538182017
94,3.5557614237424406
95,3.607057843244995
96,3.466271886670731
97,3.5593341305930606
98,3.6389593808212273
99,3.5649197085920803
100,3.655810935260071
101,3.614915333250477
102,3.593798814834052
103,3.473814320534994
104,3.5570733249444872
105,3.646493151379631
106,3.6603061113180577
107,3.6104546490403497
108,3.4914142537108996
109,3.627853092877496
110,3.5010050650184663
111,3.6591311638688158
112,3.629517695867065
113,3.599188749553694
114,3.5225093727734285
115,3.5718972804793094
116,3.5024540036477028
117,3.446849397964635
118,3.678722530520156
119,3.6092951262740285
120,3.5498356414420096
121,3.5163923759221487
122,3.5547382373325687
123,3.6204721455992237
124,3.7081538230583666
125,3.4891686495466456
126,3.5407242632402043
127,3.4919742761162853
128,3.522988113160094
129,3.633918060116793
130,3.40399066824328
131,3.5584202759471135
132,3.5152092018591627
133,3.5661393529462098
134,3.5933316576632053
135,3.5481735881385728
136,3.3805890715399047
137,3.5745349311370456
138,3.529946476887949
139,3.589005138616681
140,3.4947433469501523
141,3.5544061506268343
142,3.5305735016024498
143,3.6809971640500625
144,3.4361086630152164
145,3.389389173076802
146,3.516036114196191
147,3.400410905193404
148,3.3601677585197276
149,3.621029763110927
150,3.6072862481714125
151,3.4555170155230566
152,3.5282877000058495
153,3.4432138263754606
154,3.640722454235345
155,3.5094767018662743
156,3.5493902425884345
157,3.4707380931085323
158,3.4676882611395903
159,3.3171748883942156
160,3.616144619471053
161,3.5534468304551097
162,3.552298057827982
163,3.5243265387188374
164,3.4140086307769484
165,3.5358635328104198
166,3.4033040303725826
167,3.4430542918164857
168,3.5266553146121287
169,3.4706208861484
170,3.4823478869904214
171,3.4218373698823576
172,3.4864011692169212
173,3.4847714522888036
174,3.5168853928815045
175,3.5007856620030005
176,3.387772439790438
177,3.459483137440921
178,3.437671519630336
179,3.465346565523071
180,3.4214196540021944
181,3.4416184827793046
182,3.466592359295567
183,3.460016184245466
184,3.5974752872006306
185,3.4923852358390786
186,3.3689300914637457
187,3.4681629288680544
188,3.5019101917207665
189,3.3939298245137044
190,3.4865391818301767
191,3.5239660230122523
192,3.3871151216803663
193,3.4806530654264005
194,3.4196807338650013
195,3.5103201284981753
196,3.4631058026962402
197,3.530428240995447
198,3.5638457070473075
199,3.4963315929353507
200,3.499574502710743
201,3.447833871565353
202,3.4214069994367176
203,3.5125658927019767
204,3.5214718656512454
205,3.4332178747261337
206,3.54401455173651
207,3.5682067021222346
208,3.376757213002409
209,3.540480187143703
210,3.490143789720417
211,3.4475703077483635
212,3.5086083816483207
213,3.437071725743874
214,3.417455867706363
215,3.503111755377947
216,3.521171051618068
217,3.3348894444178208
218,3.395952916584386
219,3.4973590868534736
220,3.4948142221195364
221,3.4731058325311217
222,3.430834889501008
223,3.5165197790312654
224,3.497233629773005
225,3.3822004466509843
226,3.525394687093042
227,3.4008669655789694
228,3.5401907302149263
229,3.5080811516098946
230,3.5354216340112314
231,3.502255243919622
232,3.6026190618408034
233,3.513658683256409
234,3.5607492253836073
235,3.382621444804684
236,3.5043428110958588
237,3.406780994326578
238,3.3366774821968836
239,3.5165297618131763
240,3.4196531406830015
241,3.3944625249971248
242,3.388185577492057
