,Global
0,12.035473590853575
1,14.513647451284665
2,12.610710012842741
3,14.25866046862336
4,13.716921771653652
5,13.278017220821592
6,12.258674556562056
7,14.272707145685127
8,12.92934980599858
9,13.67288424785524
10,13.431016511824975
11,12.69186324235924
12,13.333832309171129
13,14.184855759688965
14,13.070838784088075
15,14.023413824500944
16,12.992045732754459
17,13.902025267228344
18,14.589475190734976
19,12.982731962966318
20,13.20021729629109
21,13.49206042910641
22,13.491943141808633
23,13.494704785342819
24,13.069304969251963
25,13.703619745566305
26,14.433687481282586
27,13.630117387843082
28,13.283898088274348
29,14.858796201335052
30,14.048178099385291
31,13.451881604066324
32,14.657171170441558
33,14.960482189193156
34,12.956326735069954
35,12.585077655113523
36,14.07320051610199
37,12.334088412031148
38,12.740991829879885
39,14.836432687140995
40,14.222306997871051
41,16.548462799619777
42,13.69425806681565
43,13.668403130996625
44,13.902096456247712
45,13.688008576895097
46,14.184339332532625
47,15.477911426066687
48,13.80270649621048
49,13.207151486037604
50,14.009620455640809
51,14.612066749788616
52,15.135988672964462
53,13.174674482623983
54,12.826046630065587
55,14.023893769001539
56,13.604145226706963
57,14.20245294363538
58,15.460321134191757
59,13.12914354964618
60,14.493780177850113
61,16.013183956827362
62,14.552350150668795
63,13.721279891181123
64,13.692086217454026
65,12.407826749964538
66,13.69013003390482
67,13.342195077515134
68,13.957668194566931
69,13.446901659786862
70,13.564111492308355
71,13.537179135380438
72,14.086102450343123
73,13.686528439262728
74,13.32192972793098
75,12.154002744648286
76,14.173679750124087
77,14.16270805490597
78,13.222739615459801
79,13.323271887526467
80,12.81520527027982
81,14.178512900479268
82,13.24621539989366
83,13.11108876247393
84,14.139501716743654
85,14.008109649613326
86,14.630180368567203
87,13.592767528615665
88,14.303036943610648
89,14.7071894171313
90,15.035239828398653
91,13.219625659502348
92,13.288868224122632
93,14.43248032245652
94,13.815543535343158
95,14.460524165075679
96,12.631535800853467
97,13.248684566356015
98,14.237725549069662
99,13.23614672413836
100,15.005615519111837
101,14.179046188963797
102,13.953051695305321
103,12.357603910253912
104,13.793641843849713
105,15.020075902636265
106,14.413349652561337
107,13.978764476864194
108,12.536443378978458
109,13.734356601917357
110,12.749008020950061
111,14.185495764431506
112,13.677085049740821
113,14.315701511341725
114,13.583993143204758
115,13.933311748935624
116,13.342370633710706
117,13.295103971532072
118,14.724102607328927
119,14.61868152345283
120,13.102634562192872
121,13.331215251464121
122,14.142744080397534
123,14.092309465733793
124,15.499504761782491
125,13.203486141593405
126,13.293344716625006
127,12.7703698493791
128,13.406569700693229
129,15.047278400160959
130,11.955467106005992
131,13.612319095254337
132,13.535030457420696
133,13.816992034013479
134,14.265271949128714
135,13.690732158157086
136,11.692934276365381
137,14.75708412477972
138,13.98872802010246
139,13.8709011143466
140,13.163490890418235
141,13.214782225561564
142,13.568338903731805
143,15.140225266966615
144,13.263023609805082
145,12.712294120419662
146,13.08766195853889
147,12.542447357143443
148,12.336227342863182
149,14.511623835236248
150,14.142660387238447
151,13.08775311427332
152,14.124406314128388
153,12.77951064791712
154,14.023356887440737
155,13.099407511326094
156,13.175533969936946
157,12.677714275205885
158,13.118477148543183
159,11.374297507125245
160,13.878475558728045
161,14.344610929768303
162,13.654955560229599
163,13.46487634784988
164,12.1492951300385
165,13.617204382885328
166,12.60611537749638
167,12.507576628844298
168,13.648623691572086
169,13.270911853624213
170,12.233895341722192
171,12.836737184163454
172,12.689713056091
173,12.618472514260944
174,13.742948924955394
175,13.199547889203037
176,11.777815735056553
177,12.93254051402321
178,12.446518474028567
179,12.460826235412696
180,12.277702973271902
181,13.004152934067372
182,12.612404485428337
183,12.631247405509223
184,14.752504332562182
185,13.001747615364481
186,10.980085890589898
187,12.43908279184829
188,13.070338657503639
189,11.375306439810295
190,12.735975051289198
191,13.117135801193804
192,12.467586141714047
193,14.21556276208806
194,12.979509501581262
195,13.100852164899166
196,12.38274914296718
197,13.261523211725377
198,13.64682627206462
199,12.34371100552767
200,12.872919936024413
201,12.579011056622676
202,11.859256008030297
203,13.132971579118456
204,13.03350808481821
205,12.046383995464211
206,13.491893241527498
207,14.346681098759014
208,11.954174749911681
209,13.338430692059625
210,13.801864149459988
211,11.903984230401472
212,12.147699403477123
213,12.502248720426067
214,12.999346055212985
215,12.759661453434342
216,12.925665579511302
217,11.290334985980435
218,11.994471727561622
219,12.723427627327707
220,12.801173856092852
221,12.13509459547617
222,12.448466665886704
223,14.196041152181754
224,13.397462226616671
225,11.603388987607968
226,12.849894468521384
227,12.188802958078181
228,13.110460314463506
229,13.649720331468195
230,12.969457014447057
231,12.04188647197834
232,13.212674008234204
233,13.342245152001304
234,13.952592830514368
235,12.318293125679467
236,13.25890850658661
237,12.51132329943047
238,10.934735364412814
239,13.412757001883994
240,13.379386648399406
241,12.333879745442186
242,11.789636476376707
243,12.194827341342735
244,12.652689298454241
245,12.938230476759003
246,12.377743808279172
247,12.647856889734113
248,12.707881397337237
249,12.216423399048448
250,12.648076695873494
251,12.276014251247561
252,12.918292731245371
253,10.47160219354391
254,12.522850467671676
255,13.282558285273263
256,12.46569677466173
257,11.21554127664496
258,13.86041333033738
259,11.625055997744333
260,11.943911084665801
261,12.424980042942984
262,12.106187104838169
263,13.071725101661567
264,12.592463426877577
265,11.73383523162552
266,12.12407956232291
267,12.405923666951416
268,11.727772976112508
269,12.526235369382569
270,11.499401104674458
271,12.42208706766836
272,12.317811072191873
273,13.358936254020978
274,11.804379596040922
275,13.702841010926527
276,12.37768438385571
277,12.091981012848434
278,12.264015967258214
279,13.535523443825703
280,12.574099920724693
281,12.776153230638641
282,10.77461737672237
283,13.416411710258268
284,12.680594398517439
285,12.944588166624813
286,13.453316465953279
287,11.342399662915295
288,11.788553180588398
289,12.45463557559569
290,13.105624652757848
291,13.06694780959275
292,12.793844705336832
293,12.184193989572337
294,12.520491415179473
295,12.170941375033298
296,14.337052853496417
297,12.704264229256898
298,11.485281121889905
299,12.616017153883977
300,11.635682862511446
301,10.578166655317947
302,13.131466793927212
303,13.955182264096175
304,13.323287390826227
305,11.661340123917467
306,13.783375020988538
307,12.27662906590713
308,11.602978938856404
309,13.087881642055468
310,12.341681765456771
311,13.176846840113914
312,11.490935341254705
313,11.411880551435518
314,12.86526154550482
