,Global
0,3.536957148879365
1,3.4567546569581418
2,3.4484137547069595
3,3.438146057371085
4,3.412126801878419
5,3.404502097053743
6,3.37782037745846
7,3.363202067210969
8,3.3347881725514923
9,3.3107361908927477
10,3.309499036426659
11,3.2746618635167932
12,3.2517808066416034
13,3.2039958998177127
14,3.1843562351885253
15,3.1540313978270644
16,3.1018725659329234
17,3.071823126023399
18,3.042842233515751
19,3.0504821042921835
20,3.0348244913436195
21,3.0042365837777614
22,2.9687074216710787
23,2.9867889426268963
24,2.973481071391335
25,2.9780090742293233
26,2.9800887440582393
27,2.982726170478312
28,2.9821032037695407
29,2.9613811839772506
30,2.9617540689533564
31,2.9578177133787444
32,2.953792885001736
33,2.963864496352431
34,2.981017497502866
35,2.9733585614101146
36,2.9473664714030128
37,2.9475371951361695
38,2.9531811719594465
39,2.9718769007954586
40,2.975919489058762
41,2.9656608758280214
42,2.9585022174747695
43,2.958894397538085
44,2.9549379536096683
45,2.950459597968354
46,2.962134702355578
47,2.9738079910458
48,2.9499839861593724
49,2.964895657915181
50,2.9584534109154204
51,2.9692544810266246
52,2.957843759994716
53,2.9705702746168043
54,2.9719596572612854
55,2.9595027505261617
56,2.964699241905411
57,2.974673490724708
58,2.9513348857833184
59,2.967224267374956
60,2.9630514665869634
61,2.951048617255005
62,2.9560247472594074
63,2.964870056761084
64,2.9585763492122994
65,2.942780476055563
66,2.9435768825644453
67,2.957849866739043
68,2.95733867065704
69,2.949896909986328
70,2.957950003976153
71,2.962310806726934
72,2.953315021980279
73,2.951700306963705
74,2.9568621247748395
75,2.9566025920294536
76,2.966690073603561
77,2.95026940953008
78,2.9587312554728995
79,2.952236398058866
80,2.9592554112972516
81,2.939467894968134
82,2.9421490658593923
83,2.9379655105319737
84,2.929997454079739
85,2.930822508144224
86,2.9336569409883215
87,2.955595129410705
88,2.9481095755851476
89,2.9384115764367458
90,2.944885512419649
91,2.9566940799806436
92,2.954085014910614
93,2.9374765648834837
94,2.948749428904372
95,2.9373165297416928
96,2.940027996832874
97,2.9451723088915314
98,2.9534257328820672
99,2.951983746540985
