,Global
109,41574.05686649337
110,38528.46004579367
111,731624.8929424627
112,59855.44231049453
113,330733.84346209455
114,38706.55143817092
115,63532.860590368895
116,199967.28031376874
117,25073.867774226288
118,229163.5973425022
119,644866.3361287346
120,319639.43639720225
121,325591.3923395794
122,107686.29784591288
123,59126.54034306624
124,178698.73377112162
125,15789.40830783407
126,397565.7072580335
127,9317.420810115236
128,11789.161884438709
129,287286.1925357808
130,15762.892445566269
131,300997.0458853595
132,34187.66356878712
133,41785.13717895256
134,109691.52839981791
135,223020.85463727335
136,88922.14169820452
137,137942.47069463093
138,558887.3681982947
139,490881.88445543277
140,34146.35851175607
141,97989.52297484751
142,54173.6587707809
143,765127.2585324787
144,11036.002321272314
145,11245.055170855136
146,90859.109449128
147,8938.048732914936
148,9761.096256842797
149,115902.68249413972
150,132918.82678189364
151,39650.46465670134
152,611803.6657555007
153,126151.97030357449
154,151505.20195625644
155,75816.59320527648
156,191399.61264120135
157,9326.881847428154
158,84399.96735020731
159,1149.2836463103738
160,451646.2439402865
161,57570.546561597555
162,186101.37771909183
163,171999.0612229384
164,11834.439481059324
165,61690.93158938846
166,9086.242596042199
167,28620.446244426403
168,270038.11827550863
169,7906.327860180682
170,50809.626019930394
171,52899.07569592522
172,40243.86064664159
173,18703.19827252405
174,119270.33039315132
175,33079.97566540968
176,3440.0990164151613
177,8030.4621465629
178,13047.644636052111
179,9629.758963063297
180,111379.74507112031
181,23552.449527165983
182,63726.739706446635
183,89863.85281329215
184,278357.42977075133
185,1338555.1626377965
186,7243.348726642357
187,150765.1791945504
188,47184.94470762338
189,26972.662462964603
190,12198.602238729425
191,1571915.663453342
192,13139.875015414867
193,68608.6767836264
194,19211.893022357162
195,70345.31797931422
196,7914.068286569441
197,26373.14257890616
198,29585.21405727894
199,110422.66587233389
200,52541.992948674786
201,71345.60496407765
202,80582.29434560888
203,28508.543856012042
204,285122.6685557412
205,52563.04725283174
206,79177.37607244149
207,264876.7588191775
208,11080.09974865392
209,834390.9780785493
210,316332.5159731138
211,4821.74678438493
212,26889.506319789594
213,11312.22595303397
214,40670.14357565433
215,828098.3257963244
216,82404.94468612091
217,3916.8019714713796
218,23286.13532568595
219,33772.23311443915
220,14687.351240329815
221,122431.52535782453
222,24735.18021575821
223,55789.96617535488
224,72879.2167590138
225,8735.968795574574
226,29255.444994284106
227,60683.29227935197
228,68312.43182327689
229,12170.597227249003
230,54125.67938237905
231,835673.5088013514
232,200061.75688967732
233,30043.37946719812
234,194439.13285212315
235,70581.44576600884
236,42107.84226225049
237,51863.71488409977
238,15806.206584140402
239,1768071.5497061766
240,40004.96100486194
241,57634.2566737369
242,29499.80080323882
243,19459.273088859984
244,17614.13185629606
245,26559.277655357535
246,35828.915479922056
247,8912.55847669341
248,73091.85093627169
249,10954.287245597607
250,54823.45190232109
251,473954.07060230174
252,183462.90327812635
253,13969.080058607891
254,45674.88166632042
255,1886546.5024366041
256,28552.69225722239
257,11623.326464518723
258,483049.04393752967
259,12182.805092034872
260,38473.30591488977
261,243516.2641492195
262,20504.8506389293
263,102778.21203581558
264,148682.76290370515
265,59272.661173657325
266,71777.1656932871
267,152677.4733694603
268,38154.08130070867
269,48977.58598624129
270,41216.82324160116
271,396179.15399904805
272,109288.77069573237
273,69525.22331376097
274,2362.2538116319556
275,95094.5309107609
276,14947.778911742233
277,24325.9252555378
278,244200.50505193765
279,56768.70809429319
280,13375.998352162349
281,33252.821100397356
282,2519.1021127100803
283,8379.793604081528
284,6860.584481965905
285,24047.022272907845
286,81280.09881312186
287,5049.965717873463
288,57130.58796081311
289,998264.0414946649
290,105717.38732246008
291,38326.18107541673
292,84654.52677995007
293,145774.9352969146
294,49415.24491661471
295,51345.193063756116
296,10783.009707462337
297,32650.681438394542
298,15454.236674162155
299,9234.03950251451
300,50337.25879812156
301,4866.567454594972
302,95831.21464940863
303,80414.53574484875
304,36307.52692776753
305,31329.556006624927
306,2273213.169396082
307,20754.055272721784
308,118622.07737060715
309,12637.355851323897
310,101679.1195858327
311,46498.44687134343
312,9967.072636076933
313,204027.8818988963
314,11388.706988045313
315,22217.052973956015
316,58017.12787421696
317,138696.5968109698
318,65317.96894617528
319,1879545.842662888
320,7557.222778405141
321,27374.438309231864
322,490066.5644251011
323,230411.89375017316
324,17634.560859181955
325,5934.560646431718
326,34185.38598528153
327,4071.2728056791047
328,155547.88910226422
329,228944.17009110653
330,155782.17375975117
331,47037.61114426656
332,47726.396568191325
333,9029.693636443895
334,41472.575882720565
335,42504.53483632635
336,45174.70154096535
337,69594.73394151205
338,234634.67670710967
339,399647.4796329549
340,24249.246749413196
341,95965.18669826016
342,3384.312548402562
343,23285.38891815373
344,15492.270526467035
345,8205.373788263116
346,102846.9443374414
347,728754.1401618305
348,4917.55181471661
349,16021.32437242164
350,34204.71457558298
351,34220.76849905442
352,2261.5256633609915
353,200380.74939172546
354,68074.78584353207
355,2791.4051914875463
356,11019.335477184817
357,37080.20398432778
358,2657.1677739306588
359,9675.874888501941
360,22343.530152507505
361,22208.718548603054
362,15669.498974035288
363,15379.922753220444
364,5801.767930250956
365,663518.7888199214
366,10837.377665885617
367,93970.07164021922
368,4458.762127536068
369,465808.1561692838
